lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,1,PARTAI NasDem,1,1100-01-0000-0101,"Hj. ADIWARNI HUSIN, S.Ag",P,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,1,PARTAI NasDem,2,1100-01-0000-0102,"WIRATMADINATA, SH., MH",L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,1,PARTAI NasDem,3,1100-01-0000-0103,"ASWIN SURYA, SE",L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,1,PARTAI NasDem,4,1100-01-0000-0104,"Drs. H. ANWAR M. YUSUF, MM",L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,1,PARTAI NasDem,5,1100-01-0000-0105,"EDDY ZUARDY, ST",L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,1,PARTAI NasDem,6,1100-01-0000-0106,"ZURAIDAH HASAN , SE",P,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,1,PARTAI NasDem,7,1100-01-0000-0107,"Ir. H. MUSA BINTANG, MM",L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,1,PARTAI NasDem,8,1100-01-0000-0108,"ERAWATI, A.Md. Kep",P,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,1,PARTAI NasDem,9,1100-01-0000-0109,Ir. H. MAKMUN AFFAN,L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,1,PARTAI NasDem,10,1100-01-0000-0110,M. JAMAL YUNUS,L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,1,PARTAI NasDem,11,1100-01-0000-0111,Hj. DJUSIAH DJAMARAN,P,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,1,PARTAI NasDem,12,1100-01-0000-0112,"MURTADHA KASIM, A.Md",L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,1,PARTAI NasDem,13,1100-01-0000-0113,"TEUKU IRWAN DJOHAN, ST",L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,2,PARTAI KEBANGKITAN BANGSA,1,1100-01-0000-0201,"AMRIZAL, S. HI",L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,2,PARTAI KEBANGKITAN BANGSA,2,1100-01-0000-0202,FARIDAH,P,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,2,PARTAI KEBANGKITAN BANGSA,3,1100-01-0000-0203,"M. JAILANI, SH",L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,2,PARTAI KEBANGKITAN BANGSA,4,1100-01-0000-0204,DARWIN,L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,2,PARTAI KEBANGKITAN BANGSA,5,1100-01-0000-0205,"BALIYANI, S. HUT",P,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,2,PARTAI KEBANGKITAN BANGSA,6,1100-01-0000-0206,Tgk. SAIFUL RIJAL,L,,,,,,,,,SABANG,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,2,PARTAI KEBANGKITAN BANGSA,7,1100-01-0000-0207,JASMAWATI,P,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,2,PARTAI KEBANGKITAN BANGSA,8,1100-01-0000-0208,HERLINA SARI,P,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,2,PARTAI KEBANGKITAN BANGSA,9,1100-01-0000-0209,MUCHTISAR AJAM,L,,,,,,,,,SABANG,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,2,PARTAI KEBANGKITAN BANGSA,10,1100-01-0000-0210,LISA HERKA,P,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,3,PARTAI KEADILAN SEJAHTERA,1,1100-01-0000-0301,"H. GHUFRAN ZAINAL ABIDIN, MA",L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,3,PARTAI KEADILAN SEJAHTERA,2,1100-01-0000-0302,"H. SAIFUNSYAH, SE., M.Si. Ak",L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,3,PARTAI KEADILAN SEJAHTERA,3,1100-01-0000-0303,"Hj. DEDEH AGUSTINAH, Lc",P,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,3,PARTAI KEADILAN SEJAHTERA,4,1100-01-0000-0304,"SUBHAN, SE",L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,3,PARTAI KEADILAN SEJAHTERA,5,1100-01-0000-0305,"Hj. EVA MUZDALIFA, S.Pd.I",P,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,3,PARTAI KEADILAN SEJAHTERA,6,1100-01-0000-0306,"MUHAMSM.PAdD.ISYAFI'I,",L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,3,PARTAI KEADILAN SEJAHTERA,7,1100-01-0000-0307,"TARMIZI, S.HI.",L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,3,PARTAI KEADILAN SEJAHTERA,8,1100-01-0000-0308,"FITRIYASNI, S.Pd.I., M.Si",P,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,3,PARTAI KEADILAN SEJAHTERA,9,1100-01-0000-0309,EDI GUNAWAN,L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,3,PARTAI KEADILAN SEJAHTERA,10,1100-01-0000-0310,"CUT DEWI ZULIANA, SE",P,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,3,PARTAI KEADILAN SEJAHTERA,11,1100-01-0000-0311,"MUNARDI NAZWAR, ST",L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,3,PARTAI KEADILAN SEJAHTERA,12,1100-01-0000-0312,MUHAMMAD EDY,L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,1,1100-01-0000-0401,"MARWAN IBRAHIM, SP",L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,2,1100-01-0000-0402,"A. MUTHALIB, S.Ag",L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,3,1100-01-0000-0403,"KEN ENDAH YUSTIKARINI, SH",P,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,4,1100-01-0000-0404,HALIMI M. JAMIL,L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,5,1100-01-0000-0405,"SYAHRIL, A.Md",L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,6,1100-01-0000-0406,"NURJANNAH, SP",P,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,7,1100-01-0000-0407,"CUT MEUTIA SARI, A.Md",P,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,8,1100-01-0000-0408,RATNAWATI,P,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,9,1100-01-0000-0409,ZAMZAMI,L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,5,PARTAI GOLONGAN KARYA,1,1100-01-0000-0501,"Drs. H. SULAIMAN ABDA, M.Si",L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,5,PARTAI GOLONGAN KARYA,2,1100-01-0000-0502,"Drs. H. ZAINI AZIZ, MM",L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,5,PARTAI GOLONGAN KARYA,3,1100-01-0000-0503,ZAHRATUL NIZAMI,P,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,5,PARTAI GOLONGAN KARYA,4,1100-01-0000-0504,Drs. FADHIEL AMIN,L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,5,PARTAI GOLONGAN KARYA,5,1100-01-0000-0505,Ir. M. HUSIN DAUD,L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,5,PARTAI GOLONGAN KARYA,6,1100-01-0000-0506,Dra. Hj. SULASMI,P,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,5,PARTAI GOLONGAN KARYA,7,1100-01-0000-0507,Tgk. H. ABDULLAH ATIBY,L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,5,PARTAI GOLONGAN KARYA,8,1100-01-0000-0508,CUT ASNI,P,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,5,PARTAI GOLONGAN KARYA,9,1100-01-0000-0509,"PURNAMA EKA PUTRI, S.Ag",P,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,5,PARTAI GOLONGAN KARYA,10,1100-01-0000-0510,"M. MARWAN, S.Si",L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,5,PARTAI GOLONGAN KARYA,11,1100-01-0000-0511,"MARDHANSYAH NST, SE",L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,5,PARTAI GOLONGAN KARYA,12,1100-01-0000-0512,Drs. MADIAN,L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,6,PARTAI GERAKAN INDONESIA RAYA,1,1100-01-0000-0601,Drs. H. ABDURRAHMAN AHMAD,L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,6,PARTAI GERAKAN INDONESIA RAYA,2,1100-01-0000-0602,"Drs. H. M. MUNIR AZIZ, M.Pd",L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,6,PARTAI GERAKAN INDONESIA RAYA,3,1100-01-0000-0603,Dra. Hj. MASLAILA,P,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,6,PARTAI GERAKAN INDONESIA RAYA,4,1100-01-0000-0604,"Ir. IKHWAN, MM",L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,6,PARTAI GERAKAN INDONESIA RAYA,5,1100-01-0000-0605,AGUSSALIM CHAWARI,L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,6,PARTAI GERAKAN INDONESIA RAYA,6,1100-01-0000-0606,ARJUDANI,P,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,6,PARTAI GERAKAN INDONESIA RAYA,7,1100-01-0000-0607,Ir. H. DACHMIR BAKRI,L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,6,PARTAI GERAKAN INDONESIA RAYA,8,1100-01-0000-0608,"M. NOFAL, SE",L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,6,PARTAI GERAKAN INDONESIA RAYA,9,1100-01-0000-0609,NUR ASIAH,P,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,6,PARTAI GERAKAN INDONESIA RAYA,10,1100-01-0000-0610,Drs. H. T. ZAKARIA,L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,6,PARTAI GERAKAN INDONESIA RAYA,11,1100-01-0000-0611,RICKA HASRINA,P,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,6,PARTAI GERAKAN INDONESIA RAYA,12,1100-01-0000-0612,NURZAIDAH,P,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,6,PARTAI GERAKAN INDONESIA RAYA,13,1100-01-0000-0613,Drs. H. TJUT IRSYADEN,L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,7,PARTAI DEMOKRAT,1,1100-01-0000-0701,"YUDI KURNIA, SE",L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,7,PARTAI DEMOKRAT,2,1100-01-0000-0702,"H. T. IBRAHIM, ST., MM",L,,,,,,,,,ACEH BESAR,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,7,PARTAI DEMOKRAT,3,1100-01-0000-0703,"LELA KESUMA, ST",P,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,7,PARTAI DEMOKRAT,4,1100-01-0000-0704,Drs. SAFWAN YUSUF,L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,7,PARTAI DEMOKRAT,5,1100-01-0000-0705,Drs. TARMIZI R,L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,7,PARTAI DEMOKRAT,6,1100-01-0000-0706,"DEWI HUSTARI, SE",P,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,7,PARTAI DEMOKRAT,7,1100-01-0000-0707,Ir. YUSMAIZAL,L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,7,PARTAI DEMOKRAT,8,1100-01-0000-0708,"H. AMRUNSYAH YAHYA, SE",L,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,7,PARTAI DEMOKRAT,9,1100-01-0000-0709,"ZARRIYATUN, S.Pd.I",P,,,,,,,,,BANDA ACEH,,
DPRDI,2014,11,ACEH,1100-01-0000,ACEH 1,7,PARTAI DEMOKRAT,10,1100-01-0000-0710,"H. HARMANI HARUN, SE, MM.Ak",L,,,,,,,,,ACEH BESAR,,
