lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,51,BALI,5100-01-0000,Bali 1,1,PARTAI NASDEM,1,5100-01-0000-0101,"I Made Suniastha A merta, S.S., M.Par",L,,,,,,,,,DENPASAR,,
DPRDI,2014,51,BALI,5100-01-0000,Bali 1,1,PARTAI NASDEM,2,5100-01-0000-0102,"Dra. Ni Nyoman Kertiasih, M.Hum",P,,,,,,,,,DENPASAR,,
DPRDI,2014,51,BALI,5100-01-0000,Bali 1,1,PARTAI NASDEM,3,5100-01-0000-0103,I Wayan Oka Suriawan,L,,,,,,,,,DENPASAR,,
DPRDI,2014,51,BALI,5100-01-0000,Bali 1,1,PARTAI NASDEM,4,5100-01-0000-0104,"Hj. Hesty Dewi Masitah, SP",P,,,,,,,,,DENPASAR,,
DPRDI,2014,51,BALI,5100-01-0000,Bali 1,1,PARTAI NASDEM,5,5100-01-0000-0105,"Daniel Lili Kamala Konda, SE",L,,,,,,,,,DENPASAR,,
DPRDI,2014,51,BALI,5100-01-0000,Bali 1,1,PARTAI NASDEM,6,5100-01-0000-0106,Ir. Ida Ayu Kade Mahayuni,P,,,,,,,,,DENPASAR,,
DPRDI,2014,51,BALI,5100-01-0000,Bali 1,1,PARTAI NASDEM,7,5100-01-0000-0107,"I Wayan Bayu Susila, ST",L,,,,,,,,,DENPASAR,,
DPRDI,2014,51,BALI,5100-01-0000,Bali 1,1,PARTAI NASDEM,8,5100-01-0000-0108,I Gusti Ketut Anom Cakra,L,,,,,,,,,DENPASAR,,
DPRDI,2014,51,BALI,5100-01-0000,Bali 1,5,PARTAI GOLONGAN KARYA,1,5100-01-0000-0501,"I Ketut Suwandi, S.Sos",L,,,,,,,,,DENPASAR,,
DPRDI,2014,51,BALI,5100-01-0000,Bali 1,5,PARTAI GOLONGAN KARYA,2,5100-01-0000-0502,"Komang Purnama, ST",L,,,,,,,,,DENPASAR,,
DPRDI,2014,51,BALI,5100-01-0000,Bali 1,5,PARTAI GOLONGAN KARYA,3,5100-01-0000-0503,"A.A. Ayu Suryaningsih, SH",P,,,,,,,,,DENPASAR,,
DPRDI,2014,51,BALI,5100-01-0000,Bali 1,5,PARTAI GOLONGAN KARYA,4,5100-01-0000-0504,"Ida Bagus Gede Udiyana, ST",L,,,,,,,,,DENPASAR,,
DPRDI,2014,51,BALI,5100-01-0000,Bali 1,5,PARTAI GOLONGAN KARYA,5,5100-01-0000-0505,"I.G.A. Ayu Inten Yuliandari, ST",P,,,,,,,,,DENPASAR,,
DPRDI,2014,51,BALI,5100-01-0000,Bali 1,5,PARTAI GOLONGAN KARYA,6,5100-01-0000-0506,"A.A. Ngurah Agung, SE",L,,,,,,,,,DENPASAR,,
