lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,36,BANTEN,3600-01-0000,Banten 1,1,PARTAI NASDEM,1,3600-01-0000-0101,"Tb. Jib Muhibbudin, SH., MH., MM., MBA., S.Mkp",L,,,,,,,,,"SERANG, KOTA SERANG",,
DPRDI,2014,36,BANTEN,3600-01-0000,Banten 1,1,PARTAI NASDEM,2,3600-01-0000-0102,H. Agus Sudrajat,L,,,,,,,,,"CIPOCOK JAYA, KOTA SERANG",,
DPRDI,2014,36,BANTEN,3600-01-0000,Banten 1,1,PARTAI NASDEM,3,3600-01-0000-0103,"Dra. Hj. Sri Atomy, M.Si",P,,,,,,,,,"SERANG, KOTA SERANG",,
DPRDI,2014,36,BANTEN,3600-01-0000,Banten 1,1,PARTAI NASDEM,4,3600-01-0000-0104,"Erdi Bachtiar, St., MM",L,,,,,,,,,"SERANG, KOTA SERANG",,
DPRDI,2014,36,BANTEN,3600-01-0000,Banten 1,1,PARTAI NASDEM,5,3600-01-0000-0105,"Yayu Anggraeni, SE",P,,,,,,,,,"CIPOCOK JAYA, KOTA SERANG",,
DPRDI,2014,36,BANTEN,3600-02-0000,Banten 2,1,PARTAI NASDEM,1,3600-02-0000-0101,Jayeng Rana,L,,,,,,,,,"SERANG, KOTA SERANG",,
DPRDI,2014,36,BANTEN,3600-02-0000,Banten 2,1,PARTAI NASDEM,2,3600-02-0000-0102,"H. Sanwani, SE., M.Si",L,,,,,,,,,"PULO AMPEL, SERANG",,
DPRDI,2014,36,BANTEN,3600-02-0000,Banten 2,1,PARTAI NASDEM,3,3600-02-0000-0103,"Hj. Edah Junaedah, SH",P,,,,,,,,,"KRAGILAN, SERANG",,
DPRDI,2014,36,BANTEN,3600-02-0000,Banten 2,1,PARTAI NASDEM,4,3600-02-0000-0104,"H. Aries Halawani, R",L,,,,,,,,,"CIRUAS, SERANG",,
DPRDI,2014,36,BANTEN,3600-02-0000,Banten 2,1,PARTAI NASDEM,5,3600-02-0000-0105,"H. Achmad Riva'I, SH., M.Si",L,,,,,,,,,"SERANG, KOTA SERANG",,
DPRDI,2014,36,BANTEN,3600-02-0000,Banten 2,1,PARTAI NASDEM,6,3600-02-0000-0106,Hj. Marlina JK.,P,,,,,,,,,"CINANGKA, SERANG",,
DPRDI,2014,36,BANTEN,3600-02-0000,Banten 2,1,PARTAI NASDEM,7,3600-02-0000-0107,"H. Unin Sutaryadi, SH., M.Si",L,,,,,,,,,"BOJONEGARA, SERANG",,
DPRDI,2014,36,BANTEN,3600-02-0000,Banten 2,1,PARTAI NASDEM,8,3600-02-0000-0108,"Ade Nahdiatul Hasanah, SE",P,,,,,,,,,"PULO AMPEL, SERANG",,
DPRDI,2014,36,BANTEN,3600-02-0000,Banten 2,1,PARTAI NASDEM,9,3600-02-0000-0109,"Cecep Sumarna, SH",L,,,,,,,,,"KARAWACI, KOTA TANGERANG",,
DPRDI,2014,36,BANTEN,3600-02-0000,Banten 2,1,PARTAI NASDEM,10,3600-02-0000-0110,"Kiki Luthfillah, S.IP., M.Si",L,,,,,,,,,"SERANG, KOTA SERANG",,
DPRDI,2014,36,BANTEN,3600-02-0000,Banten 2,1,PARTAI NASDEM,11,3600-02-0000-0111,"Uun Hasunah, SH",P,,,,,,,,,"BOJONEGARA, SERANG",,
DPRDI,2014,36,BANTEN,3600-02-0000,Banten 2,1,PARTAI NASDEM,12,3600-02-0000-0112,Nurul Muttaqien,L,,,,,,,,,"SERANG, KOTA SERANG",,
DPRDI,2014,36,BANTEN,3600-03-0000,Banten 3,1,PARTAI NASDEM,1,3600-03-0000-0101,Ir. Djoko Trisetyoadi,L,,,,,,,,,"KELAPA DUA, TANGERANG",,
DPRDI,2014,36,BANTEN,3600-03-0000,Banten 3,1,PARTAI NASDEM,2,3600-03-0000-0102,"Miyadi Suryadi, SH., SE., M.Si",L,,,,,,,,,"KELAPA DUA, TANGERANG",,
DPRDI,2014,36,BANTEN,3600-03-0000,Banten 3,1,PARTAI NASDEM,3,3600-03-0000-0103,"Djuabaedah, S.Pd",P,,,,,,,,,"CURUG, TANGERANG",,
DPRDI,2014,36,BANTEN,3600-03-0000,Banten 3,1,PARTAI NASDEM,4,3600-03-0000-0104,Zainal Mutakin,L,,,,,,,,,"LEGOK, TANGERANG",,
DPRDI,2014,36,BANTEN,3600-03-0000,Banten 3,1,PARTAI NASDEM,5,3600-03-0000-0105,"H. Marsudi Basukendro, M.Sc",L,,,,,,,,,"KELAPA DUA, TANGERANG",,
DPRDI,2014,36,BANTEN,3600-03-0000,Banten 3,1,PARTAI NASDEM,6,3600-03-0000-0106,Dewi Saputri Indrawati,P,,,,,,,,,"CURUG, TANGERANG",,
DPRDI,2014,36,BANTEN,3600-03-0000,Banten 3,1,PARTAI NASDEM,7,3600-03-0000-0107,Helmi Bustomi,L,,,,,,,,,"TIGARAKSA, TANGERANG",,
DPRDI,2014,36,BANTEN,3600-03-0000,Banten 3,1,PARTAI NASDEM,8,3600-03-0000-0108,Iyus Yulius,L,,,,,,,,,"TIGARAKSA, TANGERANG",,
DPRDI,2014,36,BANTEN,3600-03-0000,Banten 3,1,PARTAI NASDEM,9,3600-03-0000-0109,Susilowati,P,,,,,,,,,"JAMBE, TANGERANG",,
DPRDI,2014,36,BANTEN,3600-03-0000,Banten 3,1,PARTAI NASDEM,10,3600-03-0000-0110,Gurgur Manurung,L,,,,,,,,,"KEBON JERUK, JAKBAR",,
DPRDI,2014,36,BANTEN,3600-04-0000,Banten 4,1,PARTAI NASDEM,1,3600-04-0000-0101,"H. Ali Nurdin A. Gani, SH, M.Si",L,,,,,,,,,"CURUG, TANGERANG",,
DPRDI,2014,36,BANTEN,3600-04-0000,Banten 4,1,PARTAI NASDEM,2,3600-04-0000-0102,H. Encep Indra Permana,L,,,,,,,,,"CURUG, TANGERANG",,
DPRDI,2014,36,BANTEN,3600-04-0000,Banten 4,1,PARTAI NASDEM,3,3600-04-0000-0103,Ema Masitoh,P,,,,,,,,,"PASAR KEMIS, TANGERANG",,
DPRDI,2014,36,BANTEN,3600-04-0000,Banten 4,1,PARTAI NASDEM,4,3600-04-0000-0104,H. Pakri,L,,,,,,,,,"KRONJO, TANGERANG",,
DPRDI,2014,36,BANTEN,3600-04-0000,Banten 4,1,PARTAI NASDEM,5,3600-04-0000-0105,Agus Susanto,L,,,,,,,,,"PASAR KEMIS, TANGERANG",,
DPRDI,2014,36,BANTEN,3600-04-0000,Banten 4,1,PARTAI NASDEM,6,3600-04-0000-0106,Hj. Husnidah,P,,,,,,,,,"CURUG, TANGERANG",,
DPRDI,2014,36,BANTEN,3600-04-0000,Banten 4,1,PARTAI NASDEM,7,3600-04-0000-0107,Drs. A. Haerurrozi.HS,L,,,,,,,,,"MAUK, TANGERANG",,
DPRDI,2014,36,BANTEN,3600-04-0000,Banten 4,1,PARTAI NASDEM,8,3600-04-0000-0108,Agung Maryanto,L,,,,,,,,,"RAJEG, TANGERANG",,
DPRDI,2014,36,BANTEN,3600-04-0000,Banten 4,1,PARTAI NASDEM,9,3600-04-0000-0109,"Rosliana Madesa Putri, S.Sos",P,,,,,,,,,"KARAWACI, KOTA TANGERANG",,
DPRDI,2014,36,BANTEN,3600-04-0000,Banten 4,1,PARTAI NASDEM,10,3600-04-0000-0110,Budiyanto,L,,,,,,,,,"CIKUPA, TANGERANG",,
DPRDI,2014,36,BANTEN,3600-04-0000,Banten 4,1,PARTAI NASDEM,11,3600-04-0000-0111,Hj. Siti Rogayah,P,,,,,,,,,"LARANGAN, KOTA TANGERANG",,
DPRDI,2014,36,BANTEN,3600-05-0000,Banten 5,1,PARTAI NASDEM,1,3600-05-0000-0101,H.Adang Iskandar,L,,,,,,,,,"KARAWACI, KOTA TANGERANG",,
DPRDI,2014,36,BANTEN,3600-05-0000,Banten 5,1,PARTAI NASDEM,2,3600-05-0000-0102,"Tedy Subrata, SH",L,,,,,,,,,"PINANG, KOTA TANGERANG",,
DPRDI,2014,36,BANTEN,3600-05-0000,Banten 5,1,PARTAI NASDEM,3,3600-05-0000-0103,Hj. Dwi Khany Paramawati,P,,,,,,,,,"KARANG TENGAH, KOTA TANGERANG",,
DPRDI,2014,36,BANTEN,3600-05-0000,Banten 5,1,PARTAI NASDEM,4,3600-05-0000-0104,"Anggiat Nainggolan, SH",L,,,,,,,,,"CIBODAS, KOTA TANGERANG",,
DPRDI,2014,36,BANTEN,3600-05-0000,Banten 5,1,PARTAI NASDEM,5,3600-05-0000-0105,"Yayan Heryanto, SE",L,,,,,,,,,"KARAWACI, KOTA TANGERANG",,
DPRDI,2014,36,BANTEN,3600-05-0000,Banten 5,1,PARTAI NASDEM,6,3600-05-0000-0106,"Nurmilawati Eka Handayani, S.Ip",P,,,,,,,,,"KELAPA DUA, TANGERANG",,
DPRDI,2014,36,BANTEN,3600-05-0000,Banten 5,1,PARTAI NASDEM,7,3600-05-0000-0107,"Rinton Simarmata, SH",L,,,,,,,,,"PERIUK, KOTA TANGERANG",,
DPRDI,2014,36,BANTEN,3600-05-0000,Banten 5,1,PARTAI NASDEM,8,3600-05-0000-0108,"Lorita Sagala, BA",P,,,,,,,,,"PERIUK, KOTA TANGERANG",,
DPRDI,2014,36,BANTEN,3600-06-0000,Banten 6,1,PARTAI NASDEM,1,3600-06-0000-0101,"H. Deddy Syafei, SE",L,,,,,,,,,"KARANG TENGAH, KOTA TANGERANG",,
