lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,17,BENGKULU,1700-01-0000,Bengkulu 1,1,PARTAI NASDEM,1,1700-01-0000-0101,"DEDY ERMANSYAH, SE",L,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-01-0000,Bengkulu 1,1,PARTAI NASDEM,2,1700-01-0000-0102,YANTO INDRA WIJAYA,L,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-01-0000,Bengkulu 1,1,PARTAI NASDEM,3,1700-01-0000-0103,"IMELDA RACMILIA SARI, SP",P,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-01-0000,Bengkulu 1,1,PARTAI NASDEM,4,1700-01-0000-0104,"AHMAD NURDIN, SH",L,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-01-0000,Bengkulu 1,1,PARTAI NASDEM,5,1700-01-0000-0105,"Drs. DHARMASETIAWAN KADAR, SH",L,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-01-0000,Bengkulu 1,1,PARTAI NASDEM,6,1700-01-0000-0106,DELVINA TRI AGUSTIN,P,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-01-0000,Bengkulu 1,1,PARTAI NASDEM,7,1700-01-0000-0107,MOHAMMAD SHOLIHIN,L,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-01-0000,Bengkulu 1,1,PARTAI NASDEM,8,1700-01-0000-0108,METY SULASTARI,P,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-02-0000,Bengkulu 2,1,PARTAI NASDEM,1,1700-02-0000-0101,"TANTAWI DALI, S.Sos",L,,,,,,,,,BENGKULU UTARA,,
DPRDI,2014,17,BENGKULU,1700-02-0000,Bengkulu 2,1,PARTAI NASDEM,2,1700-02-0000-0102,"ASMAWI SAIDINA, S.Sos, M.Si",L,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-02-0000,Bengkulu 2,1,PARTAI NASDEM,3,1700-02-0000-0103,"JANNATI, SE",P,,,,,,,,,BENGKULU UTARA,,
DPRDI,2014,17,BENGKULU,1700-02-0000,Bengkulu 2,1,PARTAI NASDEM,4,1700-02-0000-0104,MUSTAFA RAMADHAN,L,,,,,,,,,BENGKULU UTARA,,
DPRDI,2014,17,BENGKULU,1700-02-0000,Bengkulu 2,1,PARTAI NASDEM,5,1700-02-0000-0105,SUPIT SANTRI,P,,,,,,,,,BENGKULU UTARA,,
DPRDI,2014,17,BENGKULU,1700-02-0000,Bengkulu 2,1,PARTAI NASDEM,6,1700-02-0000-0106,"RIKI NOFIANSYAH, A.Md",L,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-02-0000,Bengkulu 2,1,PARTAI NASDEM,7,1700-02-0000-0107,"M. TARYONO, SE",L,,,,,,,,,BENGKULU TENGAH,,
DPRDI,2014,17,BENGKULU,1700-02-0000,Bengkulu 2,1,PARTAI NASDEM,8,1700-02-0000-0108,ERNI,P,,,,,,,,,BENGKULU TENGAH,,
DPRDI,2014,17,BENGKULU,1700-03-0000,Bengkulu 3,1,PARTAI NASDEM,1,1700-03-0000-0101,"H. SUPARDJI, S.Pd",L,,,,,,,,,MUKOMUKO,,
DPRDI,2014,17,BENGKULU,1700-03-0000,Bengkulu 3,1,PARTAI NASDEM,2,1700-03-0000-0102,"YENNI LESTARI WIDHIYATI, SH",P,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-03-0000,Bengkulu 3,1,PARTAI NASDEM,3,1700-03-0000-0103,DARYATI,P,,,,,,,,,MUKOMUKO,,
DPRDI,2014,17,BENGKULU,1700-03-0000,Bengkulu 3,1,PARTAI NASDEM,4,1700-03-0000-0104,"ALAZADINI, S.IP",L,,,,,,,,,MUKOMUKO,,
DPRDI,2014,17,BENGKULU,1700-04-0000,Bengkulu 4,1,PARTAI NASDEM,1,1700-04-0000-0101,RISWAN VERI,L,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-04-0000,Bengkulu 4,1,PARTAI NASDEM,2,1700-04-0000-0102,Ir. DARMAN,L,,,,,,,,,LEBONG,,
DPRDI,2014,17,BENGKULU,1700-04-0000,Bengkulu 4,1,PARTAI NASDEM,3,1700-04-0000-0103,"ELVA DEPIQA, S.Pd.I",P,,,,,,,,,REJANG LEBONG,,
DPRDI,2014,17,BENGKULU,1700-04-0000,Bengkulu 4,1,PARTAI NASDEM,4,1700-04-0000-0104,SELAMAT SOLAH,L,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-04-0000,Bengkulu 4,1,PARTAI NASDEM,5,1700-04-0000-0105,FENI KOMARIO,L,,,,,,,,,LEBONG,,
DPRDI,2014,17,BENGKULU,1700-04-0000,Bengkulu 4,1,PARTAI NASDEM,6,1700-04-0000-0106,Drs. Hj. LELA NURJANI,P,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-04-0000,Bengkulu 4,1,PARTAI NASDEM,7,1700-04-0000-0107,SAHIDAH,P,,,,,,,,,REJANG LEBONG,,
DPRDI,2014,17,BENGKULU,1700-04-0000,Bengkulu 4,1,PARTAI NASDEM,8,1700-04-0000-0108,"ABU SYUKUR HR, SH",L,,,,,,,,,REJANG LEBONG,,
DPRDI,2014,17,BENGKULU,1700-04-0000,Bengkulu 4,1,PARTAI NASDEM,9,1700-04-0000-0109,"Drs. AZIZ HARAHAP, SH",L,,,,,,,,,REJANG LEBONG,,
DPRDI,2014,17,BENGKULU,1700-05-0000,Bengkulu 5,1,PARTAI NASDEM,1,1700-05-0000-0101,H. EDI SUNANDAR,L,,,,,,,,,KEPAHIANG,,
DPRDI,2014,17,BENGKULU,1700-05-0000,Bengkulu 5,1,PARTAI NASDEM,2,1700-05-0000-0102,TOZI SUPRIYADI,L,,,,,,,,,KEPAHIANG,,
DPRDI,2014,17,BENGKULU,1700-05-0000,Bengkulu 5,1,PARTAI NASDEM,3,1700-05-0000-0103,"Hj. SUSILAWATI, S.Pd, MM",P,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-05-0000,Bengkulu 5,1,PARTAI NASDEM,4,1700-05-0000-0104,YOFI EMILIA SARI,P,,,,,,,,,KEPAHIANG,,
DPRDI,2014,17,BENGKULU,1700-06-0000,Bengkulu 6,1,PARTAI NASDEM,1,1700-06-0000-0101,"JUNAIDI ALBAB SETIAWAN, SH, M.CL",L,,,,,,,,,BENGKULU SELATAN,,
DPRDI,2014,17,BENGKULU,1700-06-0000,Bengkulu 6,1,PARTAI NASDEM,2,1700-06-0000-0102,"ASLANIAH, S.Sos",P,,,,,,,,,KAUR,,
DPRDI,2014,17,BENGKULU,1700-06-0000,Bengkulu 6,1,PARTAI NASDEM,3,1700-06-0000-0103,"H. RAMADAN SUMARDI, SE, MM",L,,,,,,,,,BENGKULU SELATAN,,
DPRDI,2014,17,BENGKULU,1700-06-0000,Bengkulu 6,1,PARTAI NASDEM,4,1700-06-0000-0104,SALNI ANGGRAENI,P,,,,,,,,,BENGKULU SELATAN,,
DPRDI,2014,17,BENGKULU,1700-06-0000,Bengkulu 6,1,PARTAI NASDEM,5,1700-06-0000-0105,"AZHARUL MULKAN, SE",L,,,,,,,,,KAUR,,
DPRDI,2014,17,BENGKULU,1700-06-0000,Bengkulu 6,1,PARTAI NASDEM,6,1700-06-0000-0106,"RITA MARLENA, A.Ma",P,,,,,,,,,BENGKULU SELATAN,,
DPRDI,2014,17,BENGKULU,1700-06-0000,Bengkulu 6,1,PARTAI NASDEM,7,1700-06-0000-0107,SULAIMAN MUHI,L,,,,,,,,,BENGKULU SELATAN,,
DPRDI,2014,17,BENGKULU,1700-07-0000,Bengkulu 7,1,PARTAI NASDEM,1,1700-07-0000-0101,"Hj. ROSNAINI ABIDIN, S.Sos",P,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-07-0000,Bengkulu 7,1,PARTAI NASDEM,2,1700-07-0000-0102,"SEPTO ADINARA, SE",L,,,,,,,,,SELUMA,,
DPRDI,2014,17,BENGKULU,1700-07-0000,Bengkulu 7,1,PARTAI NASDEM,3,1700-07-0000-0103,ZALNI HARAYATI,P,,,,,,,,,SELUMA,,
DPRDI,2014,17,BENGKULU,1700-07-0000,Bengkulu 7,1,PARTAI NASDEM,4,1700-07-0000-0104,"DEDI PUSPA DORI, S.Sos",L,,,,,,,,,SELUMA,,
DPRDI,2014,17,BENGKULU,1700-07-0000,Bengkulu 7,1,PARTAI NASDEM,5,1700-07-0000-0105,AGA H. SITORUS,L,,,,,,,,,SELUMA,,
DPRDI,2014,17,BENGKULU,1700-01-0000,Bengkulu 1,2,PARTAI KEBANGKITAN BANGSA,1,1700-01-0000-0201,"H. BASRI MUHAMMAD, S.Sos, M.Si",L,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-01-0000,Bengkulu 1,2,PARTAI KEBANGKITAN BANGSA,2,1700-01-0000-0202,"NIKE DWI MARTADELVA, S.H",P,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-01-0000,Bengkulu 1,2,PARTAI KEBANGKITAN BANGSA,3,1700-01-0000-0203,"Hj. FATMAWATI, SE, MH",P,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-01-0000,Bengkulu 1,2,PARTAI KEBANGKITAN BANGSA,4,1700-01-0000-0204,"SUDARMANTO, S.Ag",L,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-01-0000,Bengkulu 1,2,PARTAI KEBANGKITAN BANGSA,5,1700-01-0000-0205,Hj. ROSLAINI,P,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-01-0000,Bengkulu 1,2,PARTAI KEBANGKITAN BANGSA,6,1700-01-0000-0206,SYAMSUAR JA'FAR CUAN,L,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-02-0000,Bengkulu 2,2,PARTAI KEBANGKITAN BANGSA,1,1700-02-0000-0201,"SUROTO SM., S.E., M.M",L,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-02-0000,Bengkulu 2,2,PARTAI KEBANGKITAN BANGSA,2,1700-02-0000-0202,"SIPTION MUHADY, S.Ag",L,,,,,,,,,BENGKULU TENGAH,,
DPRDI,2014,17,BENGKULU,1700-02-0000,Bengkulu 2,2,PARTAI KEBANGKITAN BANGSA,3,1700-02-0000-0203,KHASANAH,P,,,,,,,,,BENGKULU TENGAH,,
DPRDI,2014,17,BENGKULU,1700-02-0000,Bengkulu 2,2,PARTAI KEBANGKITAN BANGSA,4,1700-02-0000-0204,"DODI MARFIANUS FAUZI, S.IP",L,,,,,,,,,BENGKULU UTARA,,
DPRDI,2014,17,BENGKULU,1700-02-0000,Bengkulu 2,2,PARTAI KEBANGKITAN BANGSA,5,1700-02-0000-0205,"IKA FARADIKA, S.Sos",P,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-02-0000,Bengkulu 2,2,PARTAI KEBANGKITAN BANGSA,6,1700-02-0000-0206,RUSMAWATI,P,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-02-0000,Bengkulu 2,2,PARTAI KEBANGKITAN BANGSA,7,1700-02-0000-0207,"EKO APRIANTO, S.Kep",L,,,,,,,,,KOTA BENGKULU,,
DPRDI,2014,17,BENGKULU,1700-02-0000,Bengkulu 2,2,PARTAI KEBANGKITAN BANGSA,8,1700-02-0000-0208,"BAMBANG IRANA, S.E",L,,,,,,,,,KOTA BENGKULU,,
