lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,1,PARTAI NASDEM,1,3400-01-0000-0101,"Drs. AULIA REZA BASTIAN, M. Hum.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,1,PARTAI NASDEM,2,3400-01-0000-0102,"Dra. ERNI FEBRUARIA, M. Si.",P,,,,,,,,,SLEMAN,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,1,PARTAI NASDEM,3,3400-01-0000-0103,"Drs. WIBISONO JOKO HARTONO, MBA.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,1,PARTAI NASDEM,4,3400-01-0000-0104,Dra. YULIANI,P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,1,PARTAI NASDEM,5,3400-01-0000-0105,H. MUHAMMAD BS.,L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,1,PARTAI NASDEM,6,3400-01-0000-0106,"MUHAMMAD HARYO SUBODRO, BSc.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,1,PARTAI NASDEM,7,3400-01-0000-0107,"HENI NURVITA, S.P., M.M.",P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,2,PARTAI KEBANGKITAN BANGSA,1,3400-01-0000-0201,"JONI SUHERMAN, S.H.I.",L,,,,,,,,,TASIKMALAYA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,2,PARTAI KEBANGKITAN BANGSA,2,3400-01-0000-0202,YUNIANTO BUDI SETIAWAN,L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,2,PARTAI KEBANGKITAN BANGSA,3,3400-01-0000-0203,"Dra. Hj. ATIE SURATI, M.M.",P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,2,PARTAI KEBANGKITAN BANGSA,4,3400-01-0000-0204,Drs. ABDUL KHALIM,L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,2,PARTAI KEBANGKITAN BANGSA,5,3400-01-0000-0205,SUGENG NUGRAINI,P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,2,PARTAI KEBANGKITAN BANGSA,6,3400-01-0000-0206,MOCH. ARIF WIDODO,L,,,,,,,,,KULONPROGO,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,2,PARTAI KEBANGKITAN BANGSA,7,3400-01-0000-0207,MARWATI,P,,,,,,,,,SLEMAN,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,3,PARTAI KEADILAN SEJAHTERA,1,3400-01-0000-0301,"H. MUHAMMAD ZUHRIF HUDAYA, S.T.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,3,PARTAI KEADILAN SEJAHTERA,2,3400-01-0000-0302,"Ir. EKA YAWARA, M.T.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,3,PARTAI KEADILAN SEJAHTERA,3,3400-01-0000-0303,"WAHYU TUSI WARDANI, S.Si., Apt.",P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,3,PARTAI KEADILAN SEJAHTERA,4,3400-01-0000-0304,TRIYONO HARI KUNCORO,L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,3,PARTAI KEADILAN SEJAHTERA,5,3400-01-0000-0305,"DWI ESTININGSIH, S.Psi., M.Psi.",P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,3,PARTAI KEADILAN SEJAHTERA,6,3400-01-0000-0306,ANIESA NORMA DANTIE,P,,,,,,,,,BANTUL,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,3,PARTAI KEADILAN SEJAHTERA,7,3400-01-0000-0307,"ARIADI, S. Ag.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,1,3400-01-0000-0401,"EKO SUWANTO, S.T., M.Si.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,2,3400-01-0000-0402,SUPARDI ANTONO,L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,3,3400-01-0000-0403,DIAH IRAWATI S,P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,4,3400-01-0000-0404,"R.B. DWI WAHYU B., S.Pd., M.Si.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,5,3400-01-0000-0405,"CHANG WENDRYANTO, S.H.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,6,3400-01-0000-0406,DARINI,P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,7,3400-01-0000-0407,NUR'AINI,P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,5,PARTAI GOLONGAN KARYA,1,3400-01-0000-0501,Drs. JOHANES SERANG KEBAN,L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,5,PARTAI GOLONGAN KARYA,2,3400-01-0000-0502,"R. BAGUS SUMBARJA, S.Sos.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,5,PARTAI GOLONGAN KARYA,3,3400-01-0000-0503,NURJANAH,P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,5,PARTAI GOLONGAN KARYA,4,3400-01-0000-0504,Drs. H. HARYADI,L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,5,PARTAI GOLONGAN KARYA,5,3400-01-0000-0505,"R. DJOKO WIDODO, S.H.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,5,PARTAI GOLONGAN KARYA,6,3400-01-0000-0506,"KUSJAYATI, S.Pd.",P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,5,PARTAI GOLONGAN KARYA,7,3400-01-0000-0507,"ANDI NUR HIKMAH, S.E.",P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,6,PARTAI GERAKAN INDONESIA RAYA,1,3400-01-0000-0601,"ANTON PRABU SEMENDAWAI, S.H.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,6,PARTAI GERAKAN INDONESIA RAYA,2,3400-01-0000-0602,"ONI WANTARA, S.E.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,6,PARTAI GERAKAN INDONESIA RAYA,3,3400-01-0000-0603,Hj. SRI WAHYUNI LESTARI KUSUMAH,P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,6,PARTAI GERAKAN INDONESIA RAYA,4,3400-01-0000-0604,"ANDREAS BUDI SUSETIA, S.E., M.H.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,6,PARTAI GERAKAN INDONESIA RAYA,5,3400-01-0000-0605,TITIK SATMOKO WINARNI,P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,6,PARTAI GERAKAN INDONESIA RAYA,6,3400-01-0000-0606,"R.M. SINARBIYATNUJANAT, S.E.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,7,PARTAI DEMOKRAT,1,3400-01-0000-0701,Kol. (Purn.) H. SUKEDI,L,,,,,,,,,SLEMAN,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,7,PARTAI DEMOKRAT,2,3400-01-0000-0702,"ZULFITRI ADLI, S.H.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,7,PARTAI DEMOKRAT,3,3400-01-0000-0703,"MIA PURNAMASARI, S.T.",P,,,,,,,,,SLEMAN,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,7,PARTAI DEMOKRAT,4,3400-01-0000-0704,SLAMET RIYANTO,L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,7,PARTAI DEMOKRAT,5,3400-01-0000-0705,"YULI WIDIASTUTI, S.E.",P,,,,,,,,,KULON PROGO,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,7,PARTAI DEMOKRAT,6,3400-01-0000-0706,SRI PRASETYANINGSIH,P,,,,,,,,,SLEMAN,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,7,PARTAI DEMOKRAT,7,3400-01-0000-0707,"R. AGUNG PRASETYO, S.E.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,8,PARTAI AMANAT NASIONAL,1,3400-01-0000-0801,"ARIF NOOR HARTANTO, S.IP.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,8,PARTAI AMANAT NASIONAL,2,3400-01-0000-0802,"ARNABUN, S.E., M.M.",P,,,,,,,,,BANTUL,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,8,PARTAI AMANAT NASIONAL,3,3400-01-0000-0803,"SITI MUSLIKHATUN, S.H.",P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,8,PARTAI AMANAT NASIONAL,4,3400-01-0000-0804,Drs. A. HAZAIRIEN OEZA,L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,8,PARTAI AMANAT NASIONAL,5,3400-01-0000-0805,"IRIAWAN ARGO WIDODO, S.IP.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,8,PARTAI AMANAT NASIONAL,6,3400-01-0000-0806,"RINI NOVI ASTUTI, S.H.",P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,8,PARTAI AMANAT NASIONAL,7,3400-01-0000-0807,AGUNG NUGROHO,L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,9,PARTAI PERSATUAN PEMBANGUNAN,1,3400-01-0000-0901,H.M. ROZI AMIN,L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,9,PARTAI PERSATUAN PEMBANGUNAN,2,3400-01-0000-0902,"SITI ASKIYAH VITAYATI, S.Pd.I.",P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,9,PARTAI PERSATUAN PEMBANGUNAN,3,3400-01-0000-0903,ABD. SAMIK,L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,9,PARTAI PERSATUAN PEMBANGUNAN,4,3400-01-0000-0904,"RETNO ARGIANTI, S.H.",P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,9,PARTAI PERSATUAN PEMBANGUNAN,5,3400-01-0000-0905,"M. ZAKI SIERRAD, S.H., M.H.",L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,9,PARTAI PERSATUAN PEMBANGUNAN,6,3400-01-0000-0906,MEILAN PUSPITA SARI,P,,,,,,,,,SLEMAN,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,9,PARTAI PERSATUAN PEMBANGUNAN,7,3400-01-0000-0907,SULAIMAN R. MUCHTAR,L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,10,PARTAI HATI NURANI RAKYAT,1,3400-01-0000-1001,Drs. GUNAWAN,L,,,,,,,,,BANTUL,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,10,PARTAI HATI NURANI RAKYAT,2,3400-01-0000-1002,Dra. ENI RATIH DEWANTI,P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,10,PARTAI HATI NURANI RAKYAT,3,3400-01-0000-1003,"ASTUTININGSIH, S.H.",P,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,10,PARTAI HATI NURANI RAKYAT,4,3400-01-0000-1004,YUDI IRAWANTO,L,,,,,,,,,KOTA YOGYAKARTA,,
DPRDI,2014,34,DI YOGYAKARTA,3400-01-0000,DI YOGYAKARTA 1,10,PARTAI HATI NURANI RAKYAT,5,3400-01-0000-1005,RUDHI WURYANTORO,L,,,,,,,,,KOTA YOGYAKARTA,,
