lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,75,GORONTALO,7500-01-0000,GORONTALO 1,7,PARTAI DEMOKRAT,1,7500-01-0000-0701,"Drs. MANSUR DETUAGE, MM",L,,,,,,,,,KOTA GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-01-0000,GORONTALO 1,7,PARTAI DEMOKRAT,2,7500-01-0000-0702,Ir. H. SJAHRUL DJ. BOTUTIHE,L,,,,,,,,,KOTA GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-01-0000,GORONTALO 1,7,PARTAI DEMOKRAT,3,7500-01-0000-0703,FAIZA M. BADJEBER,P,,,,,,,,,KOTA GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-01-0000,GORONTALO 1,7,PARTAI DEMOKRAT,4,7500-01-0000-0704,HIDAYAT MOPILI,L,,,,,,,,,KOTA GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-01-0000,GORONTALO 1,7,PARTAI DEMOKRAT,5,7500-01-0000-0705,Drs. Hi. ERMAN DJAFAR,L,,,,,,,,,KOTA GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-01-0000,GORONTALO 1,7,PARTAI DEMOKRAT,6,7500-01-0000-0706,"RUKIA DUNGGIO, S.Pd",P,,,,,,,,,KOTA GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-01-0000,GORONTALO 1,7,PARTAI DEMOKRAT,7,7500-01-0000-0707,Hi. MARZUKI PAKAYA,L,,,,,,,,,KOTA GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-01-0000,GORONTALO 1,7,PARTAI DEMOKRAT,8,7500-01-0000-0708,NURJANA VALENTINE DIKO,P,,,,,,,,,KOTA GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-02-0000,GORONTALO 2,7,PARTAI DEMOKRAT,1,7500-02-0000-0701,ABD. GAFAR SIDIKI,L,,,,,,,,,KABUPATEN BONE BOLANGO,,
DPRDI,2014,75,GORONTALO,7500-02-0000,GORONTALO 2,7,PARTAI DEMOKRAT,2,7500-02-0000-0702,Ir. RAMLI ILAHUDE,L,,,,,,,,,KOTA GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-02-0000,GORONTALO 2,7,PARTAI DEMOKRAT,3,7500-02-0000-0703,MASITA HASAN,P,,,,,,,,,KABUPATEN BONE BOLANGO,,
DPRDI,2014,75,GORONTALO,7500-02-0000,GORONTALO 2,7,PARTAI DEMOKRAT,4,7500-02-0000-0704,HIDAYAT DILO,L,,,,,,,,,KOTA GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-02-0000,GORONTALO 2,7,PARTAI DEMOKRAT,5,7500-02-0000-0705,ISMIYATI TOWALU,P,,,,,,,,,KABUPATEN BONE BOLANGO,,
DPRDI,2014,75,GORONTALO,7500-02-0000,GORONTALO 2,7,PARTAI DEMOKRAT,6,7500-02-0000-0706,AMIRUDIN ULOLI,L,,,,,,,,,KABUPATEN BONE BOLANGO,,
DPRDI,2014,75,GORONTALO,7500-03-0000,GORONTALO 3,7,PARTAI DEMOKRAT,1,7500-03-0000-0701,"Hi. ARIFIN DJAKANI, SE, S.Ag, MM",L,,,,,,,,,KABUPATEN GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-03-0000,GORONTALO 3,7,PARTAI DEMOKRAT,2,7500-03-0000-0702,SUYUNUS DJAFAR,L,,,,,,,,,KABUPATEN GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-03-0000,GORONTALO 3,7,PARTAI DEMOKRAT,3,7500-03-0000-0703,Hj. SARINTAN MALAE,P,,,,,,,,,KABUPATEN GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-03-0000,GORONTALO 3,7,PARTAI DEMOKRAT,4,7500-03-0000-0704,YANTO SUDIRMAN,L,,,,,,,,,KABUPATEN GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-03-0000,GORONTALO 3,7,PARTAI DEMOKRAT,5,7500-03-0000-0705,"RIO POTALE, SH",L,,,,,,,,,KABUPATEN GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-03-0000,GORONTALO 3,7,PARTAI DEMOKRAT,6,7500-03-0000-0706,MISRO K. MALAPO,P,,,,,,,,,KABUPATEN GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-03-0000,GORONTALO 3,7,PARTAI DEMOKRAT,7,7500-03-0000-0707,DZULKIFLY MOKODONGAN,L,,,,,,,,,KABUPATEN GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-03-0000,GORONTALO 3,7,PARTAI DEMOKRAT,8,7500-03-0000-0708,DIRJO HULOPI,L,,,,,,,,,KABUPATEN GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-03-0000,GORONTALO 3,7,PARTAI DEMOKRAT,9,7500-03-0000-0709,ENDANG ALI,P,,,,,,,,,KABUPATEN GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-04-0000,GORONTALO 4,7,PARTAI DEMOKRAT,1,7500-04-0000-0701,CHAMDI ALI TUMENGGUNG MAYANG,L,,,,,,,,,KABUPATEN GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-04-0000,GORONTALO 4,7,PARTAI DEMOKRAT,2,7500-04-0000-0702,ERWINSYAH ISMAIL,L,,,,,,,,,KOTA GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-04-0000,GORONTALO 4,7,PARTAI DEMOKRAT,3,7500-04-0000-0703,EVA LAKORO,P,,,,,,,,,KABUPATEN GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-04-0000,GORONTALO 4,7,PARTAI DEMOKRAT,4,7500-04-0000-0704,HARTONO M. ZAIN,L,,,,,,,,,KABUPATEN GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-04-0000,GORONTALO 4,7,PARTAI DEMOKRAT,5,7500-04-0000-0705,MUCHLIS KATILI,L,,,,,,,,,KABUPATEN GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-04-0000,GORONTALO 4,7,PARTAI DEMOKRAT,6,7500-04-0000-0706,SELVIN HALID,P,,,,,,,,,KABUPATEN GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-05-0000,GORONTALO 5,7,PARTAI DEMOKRAT,1,7500-05-0000-0701,AHMAD LIHU,L,,,,,,,,,KABUPATEN GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-05-0000,GORONTALO 5,7,PARTAI DEMOKRAT,2,7500-05-0000-0702,MARKURIUS ARDIANTO,L,,,,,,,,,KOTA GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-05-0000,GORONTALO 5,7,PARTAI DEMOKRAT,3,7500-05-0000-0703,"NURNANINGSIH LIHU, S.IP",P,,,,,,,,,KABUPATEN GORONTALO UTARA,,
DPRDI,2014,75,GORONTALO,7500-05-0000,GORONTALO 5,7,PARTAI DEMOKRAT,4,7500-05-0000-0704,NOLA OTOLUWA,P,,,,,,,,,KABUPATEN GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-05-0000,GORONTALO 5,7,PARTAI DEMOKRAT,5,7500-05-0000-0705,"RAKHMAT PAKAYA, SH",L,,,,,,,,,KABUPATEN GORONTALO UTARA,,
DPRDI,2014,75,GORONTALO,7500-06-0000,GORONTALO 6,7,PARTAI DEMOKRAT,1,7500-06-0000-0701,"M. HIDAYAT H. BOUTY, SE",L,,,,,,,,,KOTA GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-06-0000,GORONTALO 6,7,PARTAI DEMOKRAT,2,7500-06-0000-0702,RASWIN ASUNA,L,,,,,,,,,KABUPATEN BOALEMO,,
DPRDI,2014,75,GORONTALO,7500-06-0000,GORONTALO 6,7,PARTAI DEMOKRAT,3,7500-06-0000-0703,WERNI HONI MOODUTO,P,,,,,,,,,KABUPATEN BOALEMO,,
DPRDI,2014,75,GORONTALO,7500-06-0000,GORONTALO 6,7,PARTAI DEMOKRAT,4,7500-06-0000-0704,"ABDULLAH ALKATIRI, SH",L,,,,,,,,,KOTA GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-06-0000,GORONTALO 6,7,PARTAI DEMOKRAT,5,7500-06-0000-0705,"Ir.Hi. MOHAMMAD PAUZIL BAKARI, SH",L,,,,,,,,,KABUPATEN POHUWATO,,
DPRDI,2014,75,GORONTALO,7500-06-0000,GORONTALO 6,7,PARTAI DEMOKRAT,6,7500-06-0000-0706,YULIN PALAKI,P,,,,,,,,,KABUPATEN BOALEMO,,
DPRDI,2014,75,GORONTALO,7500-06-0000,GORONTALO 6,7,PARTAI DEMOKRAT,7,7500-06-0000-0707,BAMBANG HAMID,L,,,,,,,,,KABUPATEN POHUWATO,,
DPRDI,2014,75,GORONTALO,7500-06-0000,GORONTALO 6,7,PARTAI DEMOKRAT,8,7500-06-0000-0708,GIMAN KIU,L,,,,,,,,,KABUPATEN POHUWATO,,
DPRDI,2014,75,GORONTALO,7500-06-0000,GORONTALO 6,7,PARTAI DEMOKRAT,9,7500-06-0000-0709,MARJAM HASAN,P,,,,,,,,,KOTA GORONTALO,,
DPRDI,2014,75,GORONTALO,7500-06-0000,GORONTALO 6,7,PARTAI DEMOKRAT,10,7500-06-0000-0710,RUSTAM NIATI,L,,,,,,,,,KABUPATEN POHUWATO,,
DPRDI,2014,75,GORONTALO,7500-06-0000,GORONTALO 6,7,PARTAI DEMOKRAT,11,7500-06-0000-0711,MIRNA PANIGORO,P,,,,,,,,,KABUPATEN BOALEMO,,
