lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,32,JAWA BARAT,3200-01-0000,JABAR 1,1,PARTAI NASDEM,1,3200-01-0000-0101,Memet H.Hamdan,L,,,,,,,,,KOTA BANDUNG,,
DPRDI,2014,32,JAWA BARAT,3200-01-0000,JABAR 1,1,PARTAI NASDEM,2,3200-01-0000-0102,"R. Dewi Kania, SH",P,,,,,,,,,KOTA BANDUNG,,
DPRDI,2014,32,JAWA BARAT,3200-01-0000,JABAR 1,1,PARTAI NASDEM,3,3200-01-0000-0103,"DR.Dr.H. Wimmy Ario Kuntjahjo,M.Kes",L,,,,,,,,,KOTA BANDUNG,,
DPRDI,2014,32,JAWA BARAT,3200-01-0000,JABAR 1,1,PARTAI NASDEM,4,3200-01-0000-0104,R.A.Vindha Ambhita Garna,P,,,,,,,,,KOTA BANDUNG,,
DPRDI,2014,32,JAWA BARAT,3200-01-0000,JABAR 1,1,PARTAI NASDEM,5,3200-01-0000-0105,Teuku Sory Sofyan,L,,,,,,,,,KOTA CIMAHI,,
DPRDI,2014,32,JAWA BARAT,3200-01-0000,JABAR 1,1,PARTAI NASDEM,6,3200-01-0000-0106,Debbie Caroline,P,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,32,JAWA BARAT,3200-01-0000,JABAR 1,1,PARTAI NASDEM,7,3200-01-0000-0107,Agus Tugi Hartono,L,,,,,,,,,KOTA CIMAHI,,
DPRDI,2014,32,JAWA BARAT,3200-01-0000,JABAR 1,2,PARTAI KEBANGKITAN BANGSA,1,3200-01-0000-0201,Hasim Adnan,L,,,,,,,,,KOTA BANDUNG,,
DPRDI,2014,32,JAWA BARAT,3200-01-0000,JABAR 1,2,PARTAI KEBANGKITAN BANGSA,2,3200-01-0000-0202,T. Aditia Rachman,L,,,,,,,,,KOTA CIMAHI,,
DPRDI,2014,32,JAWA BARAT,3200-01-0000,JABAR 1,2,PARTAI KEBANGKITAN BANGSA,3,3200-01-0000-0203,"R. Ihah Malihah, S.Ag",P,,,,,,,,,KOTA BANDUNG,,
DPRDI,2014,32,JAWA BARAT,3200-01-0000,JABAR 1,2,PARTAI KEBANGKITAN BANGSA,4,3200-01-0000-0204,Asep S Abdul,L,,,,,,,,,KOTA BANDUNG,,
DPRDI,2014,32,JAWA BARAT,3200-01-0000,JABAR 1,2,PARTAI KEBANGKITAN BANGSA,5,3200-01-0000-0205,ZAENAL ABIDIN,L,,,,,,,,,KOTA BANDUNG,,
