lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,15,JAMBI,1500-02-0000,JAMBI 2,7,PARTAI DEMOKRAT,1,1500-02-0000-0701,"H. KEMAS ACHMAD SAUGI, SH",L,,,,,,,,,KOTA JAMBI,,
DPRDI,2014,15,JAMBI,1500-02-0000,JAMBI 2,7,PARTAI DEMOKRAT,2,1500-02-0000-0702,"Hj. SOFIA JOESOEF, SH",P,,,,,,,,,KABAPUTEN BATANGHARI,,
DPRDI,2014,15,JAMBI,1500-02-0000,JAMBI 2,7,PARTAI DEMOKRAT,3,1500-02-0000-0703,"Hj. SULIYANTI, SH",P,,,,,,,,,KABUPATEN MUARO JAMBI,,
DPRDI,2014,15,JAMBI,1500-02-0000,JAMBI 2,7,PARTAI DEMOKRAT,4,1500-02-0000-0704,"hasjim as'ari,se",L,,,,,,,,,KOTA JAMBI,,
DPRDI,2014,15,JAMBI,1500-02-0000,JAMBI 2,7,PARTAI DEMOKRAT,5,1500-02-0000-0705,Hj. FATMAWATI,P,,,,,,,,,KOTA JAMBI,,
DPRDI,2014,15,JAMBI,1500-02-0000,JAMBI 2,7,PARTAI DEMOKRAT,6,1500-02-0000-0706,"SARBAINI, SH",L,,,,,,,,,KOTA JAMBI,,
DPRDI,2014,15,JAMBI,1500-02-0000,JAMBI 2,7,PARTAI DEMOKRAT,7,1500-02-0000-0707,RIDWAN YS,L,,,,,,,,,KABUPATEN BATANGHARI,,
DPRDI,2014,15,JAMBI,1500-02-0000,JAMBI 2,7,PARTAI DEMOKRAT,8,1500-02-0000-0708,"Hj. KARYANI AHMAD, SH",P,,,,,,,,,KOTA JAMBI,,
DPRDI,2014,15,JAMBI,1500-02-0000,JAMBI 2,7,PARTAI DEMOKRAT,9,1500-02-0000-0709,H. ISMAIL ZEN,L,,,,,,,,,KABUPATEN MUARO JAMBI,,
DPRDI,2014,15,JAMBI,1500-02-0000,JAMBI 2,7,PARTAI DEMOKRAT,10,1500-02-0000-0710,SUPARMAN,L,,,,,,,,,KOTA JAMBI,,
DPRDI,2014,15,JAMBI,1500-02-0000,JAMBI 2,6,PARTAI GERAKAN INDONESIA RAYA,1,1500-02-0000-0601,drs. ah. syahbandar,L,,,,,,,,,KOTA JAMBI,,
DPRDI,2014,15,JAMBI,1500-02-0000,JAMBI 2,6,PARTAI GERAKAN INDONESIA RAYA,2,1500-02-0000-0602,M. RIZAL LUBIS,L,,,,,,,,,KOTA JAMBI,,
DPRDI,2014,15,JAMBI,1500-02-0000,JAMBI 2,6,PARTAI GERAKAN INDONESIA RAYA,3,1500-02-0000-0603,"FATMA DEWI, S.Ag",P,,,,,,,,,KOTA JAMBI,,
DPRDI,2014,15,JAMBI,1500-02-0000,JAMBI 2,6,PARTAI GERAKAN INDONESIA RAYA,4,1500-02-0000-0604,"H.M. RUSLI, SE",L,,,,,,,,,KOTA JAMBI,,
DPRDI,2014,15,JAMBI,1500-02-0000,JAMBI 2,6,PARTAI GERAKAN INDONESIA RAYA,5,1500-02-0000-0605,"Indra Sakti Hutabarat, SE",L,,,,,,,,,KABUPATEN MUARO JAMBI,,
DPRDI,2014,15,JAMBI,1500-02-0000,JAMBI 2,6,PARTAI GERAKAN INDONESIA RAYA,6,1500-02-0000-0606,"IRYAWATI, SE",P,,,,,,,,,KOTA JAMBI,,
