lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,33,JAWA TENGAH,3300-01-0000,Jateng 1,7,PARTAI DEMOKRAT,1,3300-01-0000-0701,"AS Sukawijaya, SE alias Yoyok Sukawi",L,,,,,,,,,KOTA SEMARANG,,
DPRDI,2014,33,JAWA TENGAH,3300-01-0000,Jateng 1,7,PARTAI DEMOKRAT,2,3300-01-0000-0702,"H. Bambang Priyoko, S.Ip",L,,,,,,,,,KOTA SEMARANG,,
DPRDI,2014,33,JAWA TENGAH,3300-01-0000,Jateng 1,7,PARTAI DEMOKRAT,3,3300-01-0000-0703,"Syanaz Nadya Winanto Putri, SH",P,,,,,,,,,KOTA SEMARANG,,
DPRDI,2014,33,JAWA TENGAH,3300-01-0000,Jateng 1,7,PARTAI DEMOKRAT,4,3300-01-0000-0704,"Ir. H Atyoso Mochtar, SS",L,,,,,,,,,KOTA SEMARANG,,
DPRDI,2014,33,JAWA TENGAH,3300-01-0000,Jateng 1,7,PARTAI DEMOKRAT,5,3300-01-0000-0705,"Dra. Hj. Sulistyowati, SH, CN",P,,,,,,,,,KAB. SEMARANG,,
DPRDI,2014,33,JAWA TENGAH,3300-01-0000,Jateng 1,7,PARTAI DEMOKRAT,6,3300-01-0000-0706,"Nursyam Aris Munandar, S.Sos",L,,,,,,,,,KOTA SEMARANG,,
DPRDI,2014,33,JAWA TENGAH,3300-01-0000,Jateng 1,7,PARTAI DEMOKRAT,7,3300-01-0000-0707,"Iwan Setyo Purbowo, SE, Msi",L,,,,,,,,,KOTA SALATIGA,,
DPRDI,2014,33,JAWA TENGAH,3300-01-0000,Jateng 1,7,PARTAI DEMOKRAT,8,3300-01-0000-0708,"Sinta Rahayu Puspita Dewi, SH",P,,,,,,,,,KOTA SEMARANG,,
DPRDI,2014,33,JAWA TENGAH,3300-01-0000,Jateng 1,7,PARTAI DEMOKRAT,9,3300-01-0000-0709,Achmad Solichin,L,,,,,,,,,KOTA SEMARANG,,
DPRDI,2014,33,JAWA TENGAH,3300-01-0000,Jateng 1,7,PARTAI DEMOKRAT,10,3300-01-0000-0710,"Sumaeni, SE",P,,,,,,,,,KOTA SEMARANG,,
DPRDI,2014,33,JAWA TENGAH,3300-01-0000,Jateng 1,7,PARTAI DEMOKRAT,11,3300-01-0000-0711,"Moh, Subur Riyadi",L,,,,,,,,,KAB. KENDAI,,
DPRDI,2014,33,JAWA TENGAH,3300-02-0000,Jateng 2,7,PARTAI DEMOKRAT,1,3300-02-0000-0701,"KH. Mundir Afif, S.HI",L,,,,,,,,,KOTA SEMARANG,,
DPRDI,2014,33,JAWA TENGAH,3300-02-0000,Jateng 2,7,PARTAI DEMOKRAT,2,3300-02-0000-0702,"H. Helmy Turmudhi, SE, MM",L,,,,,,,,,KAB JEPARA,,
DPRDI,2014,33,JAWA TENGAH,3300-02-0000,Jateng 2,7,PARTAI DEMOKRAT,3,3300-02-0000-0703,"Nadiroh, S.Pd",P,,,,,,,,,KAB DEMAK,,
DPRDI,2014,33,JAWA TENGAH,3300-02-0000,Jateng 2,7,PARTAI DEMOKRAT,4,3300-02-0000-0704,Kristiyanto,L,,,,,,,,,KOTA SEMARANG,,
DPRDI,2014,33,JAWA TENGAH,3300-02-0000,Jateng 2,7,PARTAI DEMOKRAT,5,3300-02-0000-0705,Soediro Husodo,L,,,,,,,,,KAB DEMAK,,
DPRDI,2014,33,JAWA TENGAH,3300-02-0000,Jateng 2,7,PARTAI DEMOKRAT,6,3300-02-0000-0706,Cicik Sugiyarti,P,,,,,,,,,KOTA SEMARANG,,
DPRDI,2014,33,JAWA TENGAH,3300-02-0000,Jateng 2,7,PARTAI DEMOKRAT,7,3300-02-0000-0707,"Nurhayati Desy Dwi Hartanti, SH",P,,,,,,,,,KOTA SEMARANG,,
DPRDI,2014,33,JAWA TENGAH,3300-02-0000,Jateng 2,7,PARTAI DEMOKRAT,8,3300-02-0000-0708,"Supriyadi, S.Pd",L,,,,,,,,,KAB DEMAK,,
DPRDI,2014,33,JAWA TENGAH,3300-02-0000,Jateng 2,7,PARTAI DEMOKRAT,9,3300-02-0000-0709,Halimatus Sa'adah,P,,,,,,,,,KOTA SEMARANG,,
DPRDI,2014,33,JAWA TENGAH,3300-03-0000,Jateng 3,7,PARTAI DEMOKRAT,1,3300-03-0000-0701,"Hj. Kartina Sukawati, SE, MM",P,,,,,,,,,KAB PATI,,
DPRDI,2014,33,JAWA TENGAH,3300-03-0000,Jateng 3,7,PARTAI DEMOKRAT,2,3300-03-0000-0702,Ir. Yeni Sudiyono,L,,,,,,,,,KAB REMBANG,,
DPRDI,2014,33,JAWA TENGAH,3300-03-0000,Jateng 3,7,PARTAI DEMOKRAT,3,3300-03-0000-0703,"H.M. Sutirto, SE",L,,,,,,,,,KAB GROBOGAN,,
