lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,35,JAWA TIMUR,3500-01-0000,Jatim 1,1,PARTAI NASDEM,1,3500-01-0000-0101,"DR. H. ULUL ALBAB, MS",L,,,,,,,,,KABUPATEN SIDOARJO,,
DPRDI,2014,35,JAWA TIMUR,3500-01-0000,Jatim 1,1,PARTAI NASDEM,2,3500-01-0000-0102,Hj. CHURRIYAH IMRON,P,,,,,,,,,KABUPATEN SIDOARJO,,
DPRDI,2014,35,JAWA TIMUR,3500-01-0000,Jatim 1,1,PARTAI NASDEM,3,3500-01-0000-0103,R. WAHYU SASONGKO,L,,,,,,,,,KOTA SURABAYA,,
DPRDI,2014,35,JAWA TIMUR,3500-01-0000,Jatim 1,1,PARTAI NASDEM,4,3500-01-0000-0104,"Dra. SRI PUSPITA, MM",P,,,,,,,,,KOTA TANGERANG SELATAN,,
DPRDI,2014,35,JAWA TIMUR,3500-01-0000,Jatim 1,1,PARTAI NASDEM,5,3500-01-0000-0105,"DR. RUDY SAPOELETE, SH., MH.",L,,,,,,,,,KABUPATEN SIDOARJO,,
DPRDI,2014,35,JAWA TIMUR,3500-01-0000,Jatim 1,1,PARTAI NASDEM,6,3500-01-0000-0106,dr. MARTHA LIA FIORENA,P,,,,,,,,,KABUPATEN SIDOARJO,,
DPRDI,2014,35,JAWA TIMUR,3500-01-0000,Jatim 1,1,PARTAI NASDEM,7,3500-01-0000-0107,"KAMSARI, SE., MM.",L,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,35,JAWA TIMUR,3500-01-0000,Jatim 1,1,PARTAI NASDEM,8,3500-01-0000-0108,"RINA ARYANI, SH., M.Kn.",P,,,,,,,,,KABUPATEN SIDOARJO,,
DPRDI,2014,35,JAWA TIMUR,3500-01-0000,Jatim 1,1,PARTAI NASDEM,9,3500-01-0000-0109,CUT POPPY MEURAH INTAN,P,,,,,,,,,KOTA TANGERANG SELATAN,,
DPRDI,2014,35,JAWA TIMUR,3500-01-0000,Jatim 1,1,PARTAI NASDEM,10,3500-01-0000-0110,Ir. RUDHY IVAN NOOR,L,,,,,,,,,KOTA SURABAYA,,
DPRDI,2014,35,JAWA TIMUR,3500-01-0000,Jatim 1,2,PARTAI KEBANGKITAN BANGSA,1,3500-01-0000-0201,H. IMAM NAHRAWI,L,,,,,,,,,SIDOARJO,,
DPRDI,2014,35,JAWA TIMUR,3500-01-0000,Jatim 1,2,PARTAI KEBANGKITAN BANGSA,2,3500-01-0000-0202,"SYAIKHUL ISLAM, M.Sosio",L,,,,,,,,,SIDOARJO,,
