lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,62,KALIMANTAN TENGAH,6200-01-0000,KALTENG 1,7,PARTAI DEMOKRAT,1,6200-01-0000-0701,WARDI,L,,,,,,,,,PALANGKA RAYA,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-01-0000,KALTENG 1,7,PARTAI DEMOKRAT,2,6200-01-0000-0702,"H. M. SRIOSAKO, S.Sos",L,,,,,,,,,PALANGKA RAYA,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-01-0000,KALTENG 1,7,PARTAI DEMOKRAT,3,6200-01-0000-0703,HANAH SIHEN BUNDONG,P,,,,,,,,,PALANGKA RAYA,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-01-0000,KALTENG 1,7,PARTAI DEMOKRAT,4,6200-01-0000-0704,WILLIGEN PATU BABOE,L,,,,,,,,,PALANGKA RAYA,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-01-0000,KALTENG 1,7,PARTAI DEMOKRAT,5,6200-01-0000-0705,"THOESENG T. T ASANG, S.Hut., MM",L,,,,,,,,,PALANGKA RAYA,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-01-0000,KALTENG 1,7,PARTAI DEMOKRAT,6,6200-01-0000-0706,"AMELIA THERESIA, SE",P,,,,,,,,,PALANGKA RAYA,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-01-0000,KALTENG 1,7,PARTAI DEMOKRAT,7,6200-01-0000-0707,"MELYO U. SAWANG, SH",L,,,,,,,,,PALANGKA RAYA,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-01-0000,KALTENG 1,7,PARTAI DEMOKRAT,8,6200-01-0000-0708,SLAMET LIDER NIHIN,L,,,,,,,,,PALANGKA RAYA,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-01-0000,KALTENG 1,7,PARTAI DEMOKRAT,9,6200-01-0000-0709,"LINDA ASI, SE",P,,,,,,,,,PALANGKA RAYA,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-01-0000,KALTENG 1,7,PARTAI DEMOKRAT,10,6200-01-0000-0710,"WILHAN ROEBERT DOHONG, ST",L,,,,,,,,,PALANGKA RAYA,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-02-0000,KALTENG 2,7,PARTAI DEMOKRAT,1,6200-02-0000-0701,BURHANIE,L,,,,,,,,,BARITO SELATAN,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-02-0000,KALTENG 2,7,PARTAI DEMOKRAT,2,6200-02-0000-0702,SUWARNO,L,,,,,,,,,SERUYAN,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-02-0000,KALTENG 2,7,PARTAI DEMOKRAT,3,6200-02-0000-0703,"Hj. MARYATI, SH",P,,,,,,,,,SERUYAN,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-02-0000,KALTENG 2,7,PARTAI DEMOKRAT,4,6200-02-0000-0704,YUSTINUS S.K,L,,,,,,,,,KOTAWARINGIN TIMUR,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-02-0000,KALTENG 2,7,PARTAI DEMOKRAT,5,6200-02-0000-0705,"HALIM, SE",L,,,,,,,,,SERUYAN,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-02-0000,KALTENG 2,7,PARTAI DEMOKRAT,6,6200-02-0000-0706,Hj. NOORLAILA,P,,,,,,,,,KOTAWARINGIN TIMUR,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-02-0000,KALTENG 2,7,PARTAI DEMOKRAT,7,6200-02-0000-0707,DRS. KEMIKSON TARUNG,L,,,,,,,,,KOTAWARINGIN TIMUR,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-02-0000,KALTENG 2,7,PARTAI DEMOKRAT,8,6200-02-0000-0708,"AKHYAN NOOR, S.Ag",L,,,,,,,,,KOTAWARINGIN TIMUR,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-02-0000,KALTENG 2,7,PARTAI DEMOKRAT,9,6200-02-0000-0709,AL HUSNA,P,,,,,,,,,SERUYAN,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-02-0000,KALTENG 2,7,PARTAI DEMOKRAT,10,6200-02-0000-0710,"H. MUHAMAD NASIR, SH., MH",L,,,,,,,,,SERUYAN,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-03-0000,KALTENG 3,7,PARTAI DEMOKRAT,1,6200-03-0000-0701,"JIMIN, SH",L,,,,,,,,,PALANGKA RAYA,,
DPRDI,2014,62,KALIMANTAN TENGAH,6200-03-0000,KALTENG 3,7,PARTAI DEMOKRAT,2,6200-03-0000-0702,"SA'DUL HUDA, S.Sos.",L,,,,,,,,,PALANGKA RAYA,,
