lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,64,KALIMANTAN TIMUR,6400-05-0000,KALTIM 5,8,PARTAI AMANAT NASIONAL,10,6400-05-0000-0810,"AULIA ARRAHMAN, S.Sos",L,,,,,,,,,BONTANG,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-05-0000,KALTIM 5,8,PARTAI AMANAT NASIONAL,11,6400-05-0000-0811,"ERNI WAHYUNI, SE",P,,,,,,,,,BONTANG,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-06-0000,KALTIM 6,8,PARTAI AMANAT NASIONAL,1,6400-06-0000-0801,"Hj. JANDARIYAH, S.Ag",P,,,,,,,,,SAMARINDA,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-06-0000,KALTIM 6,8,PARTAI AMANAT NASIONAL,2,6400-06-0000-0802,DRS. H. RAKHMAD MAJID GANI,L,,,,,,,,,SAMARINDA,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-06-0000,KALTIM 6,8,PARTAI AMANAT NASIONAL,3,6400-06-0000-0803,"ASNAWI ARBAIN, M.HUM",L,,,,,,,,,SAMARINDA,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-06-0000,KALTIM 6,8,PARTAI AMANAT NASIONAL,4,6400-06-0000-0804,DIAH CANDRA WULANDARI,P,,,,,,,,,TARAKAN,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-06-0000,KALTIM 6,8,PARTAI AMANAT NASIONAL,5,6400-06-0000-0805,Nurmik,L,,,,,,,,,BONTANG,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-06-0000,KALTIM 6,8,PARTAI AMANAT NASIONAL,6,6400-06-0000-0806,Hj. SITTI HARA SAID,P,,,,,,,,,NUNUKAN,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-06-0000,KALTIM 6,8,PARTAI AMANAT NASIONAL,7,6400-06-0000-0807,"RAHMAN PADENGKA, SE",L,,,,,,,,,BULUNGAN,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-06-0000,KALTIM 6,8,PARTAI AMANAT NASIONAL,8,6400-06-0000-0808,"H. MUHAMMAD SALEH, S.IP",L,,,,,,,,,NUNUKAN,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-01-0000,KALTIM 1,8,PARTAI AMANAT NASIONAL,1,6400-01-0000-0801,"DWIYANTO PURNOMOSIDHI, S.Hut, MP",L,,,,,,,,,SAMARINDA,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-01-0000,KALTIM 1,8,PARTAI AMANAT NASIONAL,2,6400-01-0000-0802,"MUHAMMAD ARMEND, SP",L,,,,,,,,,SAMARINDA,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-01-0000,KALTIM 1,8,PARTAI AMANAT NASIONAL,3,6400-01-0000-0803,Hj. NOOR HASANAH,P,,,,,,,,,SAMARINDA,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-01-0000,KALTIM 1,8,PARTAI AMANAT NASIONAL,4,6400-01-0000-0804,"ZULKIFLI, SH",L,,,,,,,,,SAMARINDA,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-01-0000,KALTIM 1,8,PARTAI AMANAT NASIONAL,5,6400-01-0000-0805,"HJ. SITI QOMARIAH, SE",L,,,,,,,,,SAMARINDA,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-01-0000,KALTIM 1,8,PARTAI AMANAT NASIONAL,6,6400-01-0000-0806,NORA JANAWAHTI,L,,,,,,,,,SAMARINDA,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-01-0000,KALTIM 1,8,PARTAI AMANAT NASIONAL,7,6400-01-0000-0807,"FITRI EKADINANTI, SE",L,,,,,,,,,SAMARINDA,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-01-0000,KALTIM 1,8,PARTAI AMANAT NASIONAL,8,6400-01-0000-0808,"MASRUL, S.Sos",P,,,,,,,,,SAMARINDA,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-01-0000,KALTIM 1,8,PARTAI AMANAT NASIONAL,9,6400-01-0000-0809,"ALFIAN, SH",L,,,,,,,,,SAMARINDA,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-01-0000,KALTIM 1,8,PARTAI AMANAT NASIONAL,10,6400-01-0000-0810,THIO MING KIANG,P,,,,,,,,,SAMARINDA,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-01-0000,KALTIM 1,8,PARTAI AMANAT NASIONAL,11,6400-01-0000-0811,HAMDANI HAMID,P,,,,,,,,,SAMARINDA,,
DPRDI,2014,64,KALIMANTAN TIMUR,6400-02-0000,KALTIM 2,8,PARTAI AMANAT NASIONAL,1,6400-02-0000-0801,"SIGIT WIBOWO, SE",L,,,,,,,,,SAMARINDA,,
