lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,21,KEPULAUAN RIAU,2100-01-0000,KEPRI 1,1,PARTAI NASDEM,1,2100-01-0000-0101,"RAJA IZHARUDDIN, SE",L,,,,,,,,,TANJUNGPINANG,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-01-0000,KEPRI 1,1,PARTAI NASDEM,2,2100-01-0000-0102,"Drs. FAUZI HELMI, M. Si",L,,,,,,,,,TANJUNGPINANG,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-01-0000,KEPRI 1,1,PARTAI NASDEM,3,2100-01-0000-0103,YUNI FITRIANINGSIH,P,,,,,,,,,TANJUNGPINANG,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-01-0000,KEPRI 1,1,PARTAI NASDEM,4,2100-01-0000-0104,HARYATI,P,,,,,,,,,TANJUNGPINANG,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-02-0000,KEPRI 2,1,PARTAI NASDEM,1,2100-02-0000-0101,"Hj. SUSILAWATI, S. Ag, M. Ed",P,,,,,,,,,BINTAN,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-02-0000,KEPRI 2,1,PARTAI NASDEM,2,2100-02-0000-0102,H. SAPTONO MUSTAQIM,L,,,,,,,,,BATAM,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-02-0000,KEPRI 2,1,PARTAI NASDEM,3,2100-02-0000-0103,SAID ZULBAHTAR,L,,,,,,,,,LINGGA,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-02-0000,KEPRI 2,1,PARTAI NASDEM,4,2100-02-0000-0104,RINTA MALAU,P,,,,,,,,,BINTAN,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-02-0000,KEPRI 2,1,PARTAI NASDEM,5,2100-02-0000-0105,MOHD ZEIN,L,,,,,,,,,BINTAN,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-03-0000,KEPRI 3,1,PARTAI NASDEM,1,2100-03-0000-0101,PRISTMAN LALELA,L,,,,,,,,,KARIMUN,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-03-0000,KEPRI 3,1,PARTAI NASDEM,2,2100-03-0000-0102,RUSLI. H,L,,,,,,,,,KARIMUN,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-03-0000,KEPRI 3,1,PARTAI NASDEM,3,2100-03-0000-0103,ERNANINGSIH,P,,,,,,,,,KARIMUN,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-03-0000,KEPRI 3,1,PARTAI NASDEM,4,2100-03-0000-0104,R. ZURIANTIAZ,L,,,,,,,,,KARIMUN,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-03-0000,KEPRI 3,1,PARTAI NASDEM,5,2100-03-0000-0105,"SYAHERI, SE",L,,,,,,,,,KARIMUN,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-03-0000,KEPRI 3,1,PARTAI NASDEM,6,2100-03-0000-0106,RUWIYARNI,P,,,,,,,,,KARIMUN,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-04-0000,KEPRI 4,1,PARTAI NASDEM,1,2100-04-0000-0101,"H. MUHAMMAD AMIN, SE",L,,,,,,,,,BATAM,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-04-0000,KEPRI 4,1,PARTAI NASDEM,2,2100-04-0000-0102,"POLTAK EMERSON TARIHORAN, SSn, MM",L,,,,,,,,,BATAM,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-04-0000,KEPRI 4,1,PARTAI NASDEM,3,2100-04-0000-0103,YANUARI SALAH,P,,,,,,,,,BATAM,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-04-0000,KEPRI 4,1,PARTAI NASDEM,4,2100-04-0000-0104,ERWANDY UMAR,L,,,,,,,,,BATAM,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-04-0000,KEPRI 4,1,PARTAI NASDEM,5,2100-04-0000-0105,"EDWARD BANNER PURBA, SH",L,,,,,,,,,BATAM,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-04-0000,KEPRI 4,1,PARTAI NASDEM,6,2100-04-0000-0106,EVI HASTUTI,P,,,,,,,,,BATAM,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-04-0000,KEPRI 4,1,PARTAI NASDEM,7,2100-04-0000-0107,"MARGARITA VARIANI KAUNANG, STh",P,,,,,,,,,BATAM,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-04-0000,KEPRI 4,1,PARTAI NASDEM,8,2100-04-0000-0108,HAMZAH IDRIS,L,,,,,,,,,BATAM,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-04-0000,KEPRI 4,1,PARTAI NASDEM,9,2100-04-0000-0109,BERTO IZAAK DOKO,L,,,,,,,,,BATAM,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-04-0000,KEPRI 4,1,PARTAI NASDEM,10,2100-04-0000-0110,NANGGRO,L,,,,,,,,,BATAM,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-05-0000,KEPRI 5,1,PARTAI NASDEM,1,2100-05-0000-0101,"NOPRIANSYAH,SH",L,,,,,,,,,BATAM,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-05-0000,KEPRI 5,1,PARTAI NASDEM,2,2100-05-0000-0102,Ir. FIRDAUS,L,,,,,,,,,BATAM,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-05-0000,KEPRI 5,1,PARTAI NASDEM,3,2100-05-0000-0103,"FANNY IOOD, SH",P,,,,,,,,,BATAM,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-05-0000,KEPRI 5,1,PARTAI NASDEM,4,2100-05-0000-0104,"Ir. PETRA PAULUS TARIGAN, MM. MBA",L,,,,,,,,,BATAM,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-05-0000,KEPRI 5,1,PARTAI NASDEM,5,2100-05-0000-0105,"SAHMADIN SINAGA, SE,MM",L,,,,,,,,,BATAM,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-05-0000,KEPRI 5,1,PARTAI NASDEM,6,2100-05-0000-0106,MARLIANIS,P,,,,,,,,,BATAM,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-05-0000,KEPRI 5,1,PARTAI NASDEM,7,2100-05-0000-0107,"ED CANDRA, ST",L,,,,,,,,,BATAM,,
DPRDI,2014,21,KEPULAUAN RIAU,2100-05-0000,KEPRI 5,1,PARTAI NASDEM,8,2100-05-0000-0108,Drs. H. M. HASANUDDIN,L,,,,,,,,,BATAM,,
