lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,1,PARTAI NASDEM,1,1800-01-0000-0101,"FAUZAN SIBRON, SE, Akt",L,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,1,PARTAI NASDEM,2,1800-01-0000-0102,DEVITA KOMALA SARI,P,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,1,PARTAI NASDEM,3,1800-01-0000-0103,"APUNG ANHAR, SE",L,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,1,PARTAI NASDEM,4,1800-01-0000-0104,TAMRIN BACHTIAR,L,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,1,PARTAI NASDEM,5,1800-01-0000-0105,"MARTHA EVA CORRY, M.bsc",P,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,1,PARTAI NASDEM,6,1800-01-0000-0106,M. YATIM SANTOSA,L,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,1,PARTAI NASDEM,7,1800-01-0000-0107,"RACHMAT RIZQILLAH , SM.Hk",L,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,1,PARTAI NASDEM,8,1800-01-0000-0108,"TATA INDRA,M.BA",L,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,1,PARTAI NASDEM,9,1800-01-0000-0109,MISGUSTINI,P,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,1,PARTAI NASDEM,10,1800-01-0000-0110,"SARTONO, BBA",L,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,1,PARTAI NASDEM,11,1800-01-0000-0111,"TIYANANDA, A.Md, Kep",P,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,2,PARTAI KEBANGKITAN BANGSA,1,1800-01-0000-0201,"H. OKTA RIJAYA M, S.Hi",L,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,2,PARTAI KEBANGKITAN BANGSA,2,1800-01-0000-0202,AGUSTINA,P,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,2,PARTAI KEBANGKITAN BANGSA,3,1800-01-0000-0203,"Dra. AGUSTUTI HANDAYANI, M.M",P,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,2,PARTAI KEBANGKITAN BANGSA,4,1800-01-0000-0204,Dra. PRIHATI ENDAHYANI,P,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,2,PARTAI KEBANGKITAN BANGSA,5,1800-01-0000-0205,"TRISYE YOHANA, S.E",P,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,2,PARTAI KEBANGKITAN BANGSA,6,1800-01-0000-0206,INDRI YULIANTI LESTARI,P,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,2,PARTAI KEBANGKITAN BANGSA,7,1800-01-0000-0207,NOVI ARIASANTI,P,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,2,PARTAI KEBANGKITAN BANGSA,8,1800-01-0000-0208,AULIA NURMAYLA,P,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,2,PARTAI KEBANGKITAN BANGSA,9,1800-01-0000-0209,NUR ASIAH,P,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,2,PARTAI KEBANGKITAN BANGSA,10,1800-01-0000-0210,RIKA AMILIA,P,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,2,PARTAI KEBANGKITAN BANGSA,11,1800-01-0000-0211,WARDAH SODIKOH,P,,,,,,,,,BANDAR LAMPUNG,,
DPRDI,2014,18,LAMPUNG,1800-01-0000,LAMPUNG 1,3,PARTAI KEADILAN SEJAHTERA,1,1800-01-0000-0301,"Ir. H. HANTONI HASAN, M.Si",L,,,,,,,,,BANDAR LAMPUNG,,
