lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,82,MALUKU UTARA,8200-01-0000,MALUT 1,1,PARTAI NASDEM,1,8200-01-0000-0101,SMUNANDAR AIMSYAH,L,,,,,,,,,KOTA TERNATE,,
DPRDI,2014,82,MALUKU UTARA,8200-01-0000,MALUT 1,1,PARTAI NASDEM,2,8200-01-0000-0102,"A. BASIR PELUPESSY, SH",L,,,,,,,,,KOTA TERNATE,,
DPRDI,2014,82,MALUKU UTARA,8200-01-0000,MALUT 1,1,PARTAI NASDEM,3,8200-01-0000-0103,"SEFRINA KAYEU, SH",P,,,,,,,,,KAB. HALMAHERA BARAT,,
DPRDI,2014,82,MALUKU UTARA,8200-01-0000,MALUT 1,1,PARTAI NASDEM,4,8200-01-0000-0104,"HERY SARODEN, SE",L,,,,,,,,,KOTA TERNATE,,
DPRDI,2014,82,MALUKU UTARA,8200-01-0000,MALUT 1,1,PARTAI NASDEM,5,8200-01-0000-0105,"dahlan tan, sh.mh",L,,,,,,,,,KOTA TERNATE,,
DPRDI,2014,82,MALUKU UTARA,8200-01-0000,MALUT 1,1,PARTAI NASDEM,6,8200-01-0000-0106,VIDYAALWI,P,,,,,,,,,KOTA TERNATE,,
DPRDI,2014,82,MALUKU UTARA,8200-01-0000,MALUT 1,1,PARTAI NASDEM,7,8200-01-0000-0107,BAHARULLAH A. KARIM,L,,,,,,,,,KOTA TERNATE,,
DPRDI,2014,82,MALUKU UTARA,8200-01-0000,MALUT 1,1,PARTAI NASDEM,8,8200-01-0000-0108,SIMON PETRUS JANUBI,L,,,,,,,,,KAB. HALMAHERA BARAT,,
DPRDI,2014,82,MALUKU UTARA,8200-01-0000,MALUT 1,1,PARTAI NASDEM,9,8200-01-0000-0109,NURLAILA ADAM,P,,,,,,,,,KOTA TERNATE,,
DPRDI,2014,82,MALUKU UTARA,8200-01-0000,MALUT 1,1,PARTAI NASDEM,10,8200-01-0000-0110,GAZALI Hi YAHYA,L,,,,,,,,,KOTA TERNATE,,
DPRDI,2014,82,MALUKU UTARA,8200-01-0000,MALUT 1,1,PARTAI NASDEM,11,8200-01-0000-0111,DARTIMASA,P,,,,,,,,,KOTA TERNATE,,
