lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,52,NUSA TENGGARA BARAT,5200-05-0000,NTB 5,7,PARTAI DEMOKRAT,1,5200-05-0000-0701,"BAIJURI BULKIAH, SH.",L,,,,,,,,,SUMBAWA,,
DPRDI,2014,52,NUSA TENGGARA BARAT,5200-05-0000,NTB 5,7,PARTAI DEMOKRAT,2,5200-05-0000-0702,"KUSNAINI, SH.",L,,,,,,,,,LOMBOK TIMUR,,
DPRDI,2014,52,NUSA TENGGARA BARAT,5200-05-0000,NTB 5,7,PARTAI DEMOKRAT,3,5200-05-0000-0703,NIDA'UL HASANAH,P,,,,,,,,,SUMBAWA BARAT,,
DPRDI,2014,52,NUSA TENGGARA BARAT,5200-05-0000,NTB 5,7,PARTAI DEMOKRAT,4,5200-05-0000-0704,"H. ISMAIL, S.Ap",L,,,,,,,,,SUMBAWA BARAT,,
DPRDI,2014,52,NUSA TENGGARA BARAT,5200-05-0000,NTB 5,7,PARTAI DEMOKRAT,5,5200-05-0000-0705,MARDIANA.,P,,,,,,,,,SUMBAWA BARAT,,
DPRDI,2014,52,NUSA TENGGARA BARAT,5200-05-0000,NTB 5,7,PARTAI DEMOKRAT,6,5200-05-0000-0706,"WAHID MUSTARAM, S.SOS",L,,,,,,,,,SUMBAWA,,
DPRDI,2014,52,NUSA TENGGARA BARAT,5200-05-0000,NTB 5,7,PARTAI DEMOKRAT,7,5200-05-0000-0707,H. KEBA SOESY,L,,,,,,,,,SUMBAWA BARAT,,
DPRDI,2014,52,NUSA TENGGARA BARAT,5200-05-0000,NTB 5,7,PARTAI DEMOKRAT,8,5200-05-0000-0708,"ROHANI YUNI PRIHANITA, A.Md.",P,,,,,,,,,SUMBAWA,,
DPRDI,2014,52,NUSA TENGGARA BARAT,5200-05-0000,NTB 5,6,PARTAI GERAKAN INDONESIA RAYA,1,5200-05-0000-0601,"H. IRWAN RAHADI, ST",L,,,,,,,,,SUMBAWA BESAR,,
DPRDI,2014,52,NUSA TENGGARA BARAT,5200-05-0000,NTB 5,6,PARTAI GERAKAN INDONESIA RAYA,2,5200-05-0000-0602,"LALU SUJARWADI, ST",L,,,,,,,,,SUMBAWA BARAT,,
DPRDI,2014,52,NUSA TENGGARA BARAT,5200-05-0000,NTB 5,6,PARTAI GERAKAN INDONESIA RAYA,3,5200-05-0000-0603,"NOPI SRITAMBUAN, SE.",P,,,,,,,,,SUMBAWA,,
DPRDI,2014,52,NUSA TENGGARA BARAT,5200-05-0000,NTB 5,6,PARTAI GERAKAN INDONESIA RAYA,4,5200-05-0000-0604,Ir. DANIEL LEPONG,L,,,,,,,,,KOTA MATARAM,,
DPRDI,2014,52,NUSA TENGGARA BARAT,5200-05-0000,NTB 5,6,PARTAI GERAKAN INDONESIA RAYA,5,5200-05-0000-0605,"H. ABDUL TALIB, S.Sos",L,,,,,,,,,SUMBAWA,,
DPRDI,2014,52,NUSA TENGGARA BARAT,5200-05-0000,NTB 5,6,PARTAI GERAKAN INDONESIA RAYA,6,5200-05-0000-0606,"SULIS ANGGRAINI, S.Sos",P,,,,,,,,,SUMBAWA,,
