lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,53,NUSA TENGGARA TIMUR,5300-01-0000,NTT 1,1,PARTAI NASDEM,1,5300-01-0000-0101,"Drs. ALEXANDER ENA, M.Si",L,,,,,,,,,KUPANG,,
DPRDI,2014,53,NUSA TENGGARA TIMUR,5300-01-0000,NTT 1,1,PARTAI NASDEM,2,5300-01-0000-0102,Ir. PETRUS CHRISTIAN MBOEIK,L,,,,,,,,,KOTA KUPANG,,
DPRDI,2014,53,NUSA TENGGARA TIMUR,5300-01-0000,NTT 1,1,PARTAI NASDEM,3,5300-01-0000-0103,"DEETJE SITTA, SPi",P,,,,,,,,,KOTA KUPANG,,
DPRDI,2014,53,NUSA TENGGARA TIMUR,5300-01-0000,NTT 1,1,PARTAI NASDEM,4,5300-01-0000-0104,GEORGE MC. PAULUS. M.App.Sc,L,,,,,,,,,KOTA KUPANG,,
DPRDI,2014,53,NUSA TENGGARA TIMUR,5300-01-0000,NTT 1,1,PARTAI NASDEM,5,5300-01-0000-0105,FABYOLLA RATU NITTE,P,,,,,,,,,KOTA KUPANG,,
DPRDI,2014,53,NUSA TENGGARA TIMUR,5300-01-0000,NTT 1,1,PARTAI NASDEM,6,5300-01-0000-0106,"Dr. THOMAS OLA, SE., M.Si",L,,,,,,,,,KOTA KUPANG,,
DPRDI,2014,53,NUSA TENGGARA TIMUR,5300-01-0000,NTT 1,2,PARTAI KEBANGKITAN BANGSA,1,5300-01-0000-0201,"Ana Wahakolin, SH",P,,,,,,,,,KOTA KUPANG,,
DPRDI,2014,53,NUSA TENGGARA TIMUR,5300-01-0000,NTT 1,2,PARTAI KEBANGKITAN BANGSA,2,5300-01-0000-0202,"MARTHA PAULINA PELLO, S.Sos, M.Si",P,,,,,,,,,KOTA KUPANG,,
DPRDI,2014,53,NUSA TENGGARA TIMUR,5300-01-0000,NTT 1,2,PARTAI KEBANGKITAN BANGSA,3,5300-01-0000-0203,"KORNELIS TIMO, A.Md",L,,,,,,,,,KOTA KUPANG,,
DPRDI,2014,53,NUSA TENGGARA TIMUR,5300-01-0000,NTT 1,2,PARTAI KEBANGKITAN BANGSA,4,5300-01-0000-0204,Drs. JACK LAUW,L,,,,,,,,,KOTA KUPANG,,
DPRDI,2014,53,NUSA TENGGARA TIMUR,5300-01-0000,NTT 1,2,PARTAI KEBANGKITAN BANGSA,5,5300-01-0000-0205,"WELHELMUS DERE, SM",L,,,,,,,,,KOTA KUPANG,,
DPRDI,2014,53,NUSA TENGGARA TIMUR,5300-01-0000,NTT 1,2,PARTAI KEBANGKITAN BANGSA,6,5300-01-0000-0206,"FRANSISKUS EMANUEL KOLIN, SH",L,,,,,,,,,KOTA KUPANG,,
