lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,76,SULAWESI BARAT,7600-01-0000,Sulbar 1,7,PARTAI DEMOKRAT,1,7600-01-0000-0701,"SOLEMAN PUALILLIN, SH",L,,,,,,,,,MAMASA / MAMASA,,
DPRDI,2014,76,SULAWESI BARAT,7600-01-0000,Sulbar 1,7,PARTAI DEMOKRAT,2,7600-01-0000-0702,"Ir. YAHUDA, MM",L,,,,,,,,,MAMUJU / MAMUJU,,
DPRDI,2014,76,SULAWESI BARAT,7600-01-0000,Sulbar 1,7,PARTAI DEMOKRAT,3,7600-01-0000-0703,BARSALINA LENTHO,P,,,,,,,,,MAMASA / TANDUKKALUA,,
DPRDI,2014,76,SULAWESI BARAT,7600-01-0000,Sulbar 1,7,PARTAI DEMOKRAT,4,7600-01-0000-0704,"Drs. AGUSTINUS BUNTU MADIKA, SH",L,,,,,,,,,MAMASA,,
DPRDI,2014,76,SULAWESI BARAT,7600-01-0000,Sulbar 1,7,PARTAI DEMOKRAT,5,7600-01-0000-0705,"Drs.BENHARD BUNTUTIBOYONG, MH., M.Si",L,,,,,,,,,MAMASA,,
DPRDI,2014,76,SULAWESI BARAT,7600-01-0000,Sulbar 1,7,PARTAI DEMOKRAT,6,7600-01-0000-0706,"DEWINTA, S.Sos",P,,,,,,,,,MAKASSAR / SUDIANG,,
DPRDI,2014,76,SULAWESI BARAT,7600-02-0000,Sulbar 2,7,PARTAI DEMOKRAT,1,7600-02-0000-0701,"A. MAPPANGARA, S.Sos",L,,,,,,,,,POLMAN,,
DPRDI,2014,76,SULAWESI BARAT,7600-02-0000,Sulbar 2,7,PARTAI DEMOKRAT,2,7600-02-0000-0702,"Ir. H.A. M. NATSIR NAWAWI, M.A.P",L,,,,,,,,,POLMAN,,
DPRDI,2014,76,SULAWESI BARAT,7600-02-0000,Sulbar 2,7,PARTAI DEMOKRAT,3,7600-02-0000-0703,"SERLY PONDA PRIBADI, S.Pd",P,,,,,,,,,POLMAN,,
DPRDI,2014,76,SULAWESI BARAT,7600-02-0000,Sulbar 2,7,PARTAI DEMOKRAT,4,7600-02-0000-0704,"NURSALIM, S.Sos",L,,,,,,,,,POLMAN,,
