lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,73,SULAWESI SELATAN,7300-06-0000,Sulsel 6,6,PARTAI GERAKAN INDONESIA RAYA,1,7300-06-0000-0601,"ANWAR WAHAB, S.SOS.",L,,,,,,,,,KEC. MONCONG LOE KAB. MAROS,,
DPRDI,2014,73,SULAWESI SELATAN,7300-06-0000,Sulsel 6,6,PARTAI GERAKAN INDONESIA RAYA,2,7300-06-0000-0602,"DIDIS ABDI ABURAERA, SE",L,,,,,,,,,KEC. RAPPOCINI KOTA MAKASSAR,,
DPRDI,2014,73,SULAWESI SELATAN,7300-06-0000,Sulsel 6,6,PARTAI GERAKAN INDONESIA RAYA,3,7300-06-0000-0603,INCE NURLINDA SARI,P,,,,,,,,,KEC. TURIKALE KAB. MAROS,,
DPRDI,2014,73,SULAWESI SELATAN,7300-06-0000,Sulsel 6,6,PARTAI GERAKAN INDONESIA RAYA,4,7300-06-0000-0604,DRS. MUSLIMIN DAUD,L,,,,,,,,,KEC. BACUKIKI KOTA PAREPARE,,
DPRDI,2014,73,SULAWESI SELATAN,7300-06-0000,Sulsel 6,6,PARTAI GERAKAN INDONESIA RAYA,5,7300-06-0000-0605,RISNAWATI,P,,,,,,,,,KEC. BALOCCI KAB. PANGKEP,,
DPRDI,2014,73,SULAWESI SELATAN,7300-06-0000,Sulsel 6,6,PARTAI GERAKAN INDONESIA RAYA,6,7300-06-0000-0606,"DRS. SUDIRMAN MANNAF, M. Si",L,,,,,,,,,KEC. TURIKALE KAB. MAROS,,
DPRDI,2014,73,SULAWESI SELATAN,7300-06-0000,Sulsel 6,6,PARTAI GERAKAN INDONESIA RAYA,7,7300-06-0000-0607,IR. ANDI HERY SUHARI ATTAS,L,,,,,,,,,KEC. RAPPOCINI KOTA MAKASSAR,,
DPRDI,2014,73,SULAWESI SELATAN,7300-06-0000,Sulsel 6,6,PARTAI GERAKAN INDONESIA RAYA,8,7300-06-0000-0608,IR. AMINAH MASLIA,P,,,,,,,,,KEC. TALLO KOTA MAKASSAR,,
DPRDI,2014,73,SULAWESI SELATAN,7300-06-0000,Sulsel 6,6,PARTAI GERAKAN INDONESIA RAYA,9,7300-06-0000-0609,"DRS. H. KAMIL RUDDIN, M. Si",L,,,,,,,,,KEC. BARRU KAB. BARRU,,
DPRDI,2014,73,SULAWESI SELATAN,7300-07-0000,Sulsel 7,6,PARTAI GERAKAN INDONESIA RAYA,1,7300-07-0000-0601,"DRS. A. MANGUNSIDI MASSARAPPI, M. Si",L,,,,,,,,,MAKASSAR,,
