lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,72,SULAWESI TENGAH,7200-01-0000,Sulteng 1,7,PARTAI DEMOKRAT,1,7200-01-0000-0701,"H. MOH. HIDAYAT PAKAMUNDI, SE",L,,,,,,,,,"PALU SELATAN, KOTA PALU",,
DPRDI,2014,72,SULAWESI TENGAH,7200-01-0000,Sulteng 1,7,PARTAI DEMOKRAT,2,7200-01-0000-0702,andi jumriani hamka,P,,,,,,,,,"palu selatan, kota palu",,
DPRDI,2014,72,SULAWESI TENGAH,7200-01-0000,Sulteng 1,7,PARTAI DEMOKRAT,3,7200-01-0000-0703,LUSY SHANTI MARDJANU,P,,,,,,,,,PALU TIMUR,,
DPRDI,2014,72,SULAWESI TENGAH,7200-01-0000,Sulteng 1,7,PARTAI DEMOKRAT,4,7200-01-0000-0704,"HARDI D. YAMBAS, SH",L,,,,,,,,,"PALU BARAT, KOTA PALU",,
DPRDI,2014,72,SULAWESI TENGAH,7200-01-0000,Sulteng 1,7,PARTAI DEMOKRAT,5,7200-01-0000-0705,NASARUDDIN,L,,,,,,,,,"PALU BARAT, KOTA PALU",,
DPRDI,2014,72,SULAWESI TENGAH,7200-01-0000,Sulteng 1,7,PARTAI DEMOKRAT,6,7200-01-0000-0706,MUHAMMAD ASRI YALIJAMA,L,,,,,,,,,"PALU BARAT, KOTA BALU",,
DPRDI,2014,72,SULAWESI TENGAH,7200-02-0000,Sulteng 2,7,PARTAI DEMOKRAT,1,7200-02-0000-0701,"H. MOH. NUR DG. RAHMATU, SE",L,,,,,,,,,"PARIGI, PARIGI MOUTONG",,
DPRDI,2014,72,SULAWESI TENGAH,7200-02-0000,Sulteng 2,7,PARTAI DEMOKRAT,2,7200-02-0000-0702,Drs. SYUKRI DAENG MALINO,L,,,,,,,,,"PALU TIMUR, KOTA PALU",,
DPRDI,2014,72,SULAWESI TENGAH,7200-02-0000,Sulteng 2,7,PARTAI DEMOKRAT,3,7200-02-0000-0703,Dra. NIKMAT,P,,,,,,,,,"PALU TIMUR, KOTA PALU",,
DPRDI,2014,72,SULAWESI TENGAH,7200-02-0000,Sulteng 2,7,PARTAI DEMOKRAT,4,7200-02-0000-0704,RULLY HAJU,L,,,,,,,,,"PALU BARAT, KOTA PALU",,
DPRDI,2014,72,SULAWESI TENGAH,7200-02-0000,Sulteng 2,7,PARTAI DEMOKRAT,5,7200-02-0000-0705,"Hj. ASNA AL SAEHANA, SS",P,,,,,,,,,"AMPIBABO, PARIGI MOUTONG",,
DPRDI,2014,72,SULAWESI TENGAH,7200-02-0000,Sulteng 2,7,PARTAI DEMOKRAT,6,7200-02-0000-0706,dra. hj. ramlah ismail,P,,,,,,,,,"palu selatan, kota palu",,
DPRDI,2014,72,SULAWESI TENGAH,7200-02-0000,Sulteng 2,7,PARTAI DEMOKRAT,7,7200-02-0000-0707,h. amrullah s. kasim al. mahdaly,L,,,,,,,,,"palu barat, kota palu",,
DPRDI,2014,72,SULAWESI TENGAH,7200-03-0000,Sulteng 3,7,PARTAI DEMOKRAT,1,7200-03-0000-0701,"ABD. RAZAK HI. BM. RADJAK, SH",L,,,,,,,,,"PALU SELATAN, KOTA PALU",,
