lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,74,SULAWESI TENGGARA,7400-01-0000,Sultra 1,7,PARTAI DEMOKRAT,1,7400-01-0000-0701,"SAFARULLAH, SH., MH.",L,,,,,,,,,KOTA KENDARI,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-01-0000,Sultra 1,7,PARTAI DEMOKRAT,2,7400-01-0000-0702,"H. FACHRUDDIN A. MASSARAMPA, SH.",L,,,,,,,,,KOTA KENDARI,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-01-0000,Sultra 1,7,PARTAI DEMOKRAT,3,7400-01-0000-0703,"RIDAWATI, SH.",P,,,,,,,,,KOTA KENDARI,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-01-0000,Sultra 1,7,PARTAI DEMOKRAT,6,7400-01-0000-0706,UMMI WEKOILA,P,,,,,,,,,KOTA KENDARI,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-02-0000,Sultra 2,7,PARTAI DEMOKRAT,8,7400-02-0000-0708,"YESI ADRIANTI TOONDU, SH.",P,,,,,,,,,KONAWE SELATAN,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-03-0000,Sultra 3,7,PARTAI DEMOKRAT,2,7400-03-0000-0702,"LA ODE ABD. GAMAL. M, SE.",L,,,,,,,,,KOTA KENDARI,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-03-0000,Sultra 3,7,PARTAI DEMOKRAT,6,7400-03-0000-0706,"L.M. TAUFAN ALAM, ST.",L,,,,,,,,,MUNA,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-04-0000,Sultra 4,7,PARTAI DEMOKRAT,1,7400-04-0000-0701,"MUHLIS, ST.",L,,,,,,,,,KOTA KENDARI,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-04-0000,Sultra 4,7,PARTAI DEMOKRAT,3,7400-04-0000-0703,Hj. WA ODE SALMATIAH,P,,,,,,,,,BAUBAU,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-04-0000,Sultra 4,7,PARTAI DEMOKRAT,10,7400-04-0000-0710,YULIADIN,L,,,,,,,,,BUTON,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-05-0000,Sultra 5,7,PARTAI DEMOKRAT,3,7400-05-0000-0703,"NUR IHSAN UMAR, SH. MH.",L,,,,,,,,,KOLAKA UTARA,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-05-0000,Sultra 5,7,PARTAI DEMOKRAT,4,7400-05-0000-0704,"ARNOLDUS MARIANUM, SE.",L,,,,,,,,,KOLAKA UTARA,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-05-0000,Sultra 5,7,PARTAI DEMOKRAT,6,7400-05-0000-0706,SUSY ASMARANI LULU,P,,,,,,,,,KOLAKA UTARA,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-06-0000,Sultra 6,7,PARTAI DEMOKRAT,1,7400-06-0000-0701,"Hj. ISYATIN SYAM, S.IP.",P,,,,,,,,,KONAWE UTARA,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-01-0000,Sultra 1,6,PARTAI GERAKAN INDONESIA RAYA,1,7400-01-0000-0601,IQBAL ABDULLAH BAFADAL,L,,,,,,,,,KENDARI,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-01-0000,Sultra 1,6,PARTAI GERAKAN INDONESIA RAYA,2,7400-01-0000-0602,"HASRIANTI, ST.",P,,,,,,,,,KENDARI,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-01-0000,Sultra 1,6,PARTAI GERAKAN INDONESIA RAYA,6,7400-01-0000-0606,NUR HIKMA BASO,L,,,,,,,,,KENDARI,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-02-0000,Sultra 2,6,PARTAI GERAKAN INDONESIA RAYA,1,7400-02-0000-0601,"DARMAN. B, SP.",L,,,,,,,,,KENDARI,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-02-0000,Sultra 2,6,PARTAI GERAKAN INDONESIA RAYA,3,7400-02-0000-0603,"Drs. H. BUSTAM, M.Si.",L,,,,,,,,,BOMBANA,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-03-0000,Sultra 3,6,PARTAI GERAKAN INDONESIA RAYA,3,7400-03-0000-0603,Drs. LA ODE ASRI BONEA,L,,,,,,,,,KENDARI,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-03-0000,Sultra 3,6,PARTAI GERAKAN INDONESIA RAYA,5,7400-03-0000-0605,"LA ODE ARFAN. R, S.Sos.",L,,,,,,,,,MUNA,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-03-0000,Sultra 3,6,PARTAI GERAKAN INDONESIA RAYA,6,7400-03-0000-0606,HARLIN BARISALA,L,,,,,,,,,MUNA,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-04-0000,Sultra 4,6,PARTAI GERAKAN INDONESIA RAYA,2,7400-04-0000-0602,"HERYNA, SH.",P,,,,,,,,,BAU-BAU,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-04-0000,Sultra 4,6,PARTAI GERAKAN INDONESIA RAYA,4,7400-04-0000-0604,WD. MUKHUSINA,P,,,,,,,,,BAU-BAU,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-04-0000,Sultra 4,6,PARTAI GERAKAN INDONESIA RAYA,6,7400-04-0000-0606,LA JANA ALI,L,,,,,,,,,BUTON,,
DPRDI,2014,74,SULAWESI TENGGARA,7400-04-0000,Sultra 4,6,PARTAI GERAKAN INDONESIA RAYA,8,7400-04-0000-0608,HAMIDA,P,,,,,,,,,KENDARI,,
