lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,71,SULAWESI UTARA,7100-01-0000,Sulut 1,7,PARTAI DEMOKRAT,1,7100-01-0000-0701,"JOUDIE A. WATUNG, SH",L,,,,,,,,,MANADO,,
DPRDI,2014,71,SULAWESI UTARA,7100-01-0000,Sulut 1,7,PARTAI DEMOKRAT,2,7100-01-0000-0702,"JAMES KARINDA, SH.,MH",L,,,,,,,,,MANADO,,
DPRDI,2014,71,SULAWESI UTARA,7100-01-0000,Sulut 1,7,PARTAI DEMOKRAT,3,7100-01-0000-0703,"SISKA R. O. MANGINDAAN, SS",P,,,,,,,,,MANADO,,
DPRDI,2014,71,SULAWESI UTARA,7100-01-0000,Sulut 1,7,PARTAI DEMOKRAT,4,7100-01-0000-0704,"LOCK F.X. KOJONGIAN, S.SOS",L,,,,,,,,,MANADO,,
DPRDI,2014,71,SULAWESI UTARA,7100-01-0000,Sulut 1,7,PARTAI DEMOKRAT,5,7100-01-0000-0705,"DRA. DIANA M. MALLO, MSI",P,,,,,,,,,MANADO,,
DPRDI,2014,71,SULAWESI UTARA,7100-01-0000,Sulut 1,7,PARTAI DEMOKRAT,6,7100-01-0000-0706,SHERLY G.V SAMADI,P,,,,,,,,,MINAHASA,,
DPRDI,2014,71,SULAWESI UTARA,7100-01-0000,Sulut 1,7,PARTAI DEMOKRAT,7,7100-01-0000-0707,RONNY BRANDO EMAN,L,,,,,,,,,MANADO,,
DPRDI,2014,71,SULAWESI UTARA,7100-01-0000,Sulut 1,7,PARTAI DEMOKRAT,8,7100-01-0000-0708,"HAROLD ZAKARY HEYDEMANS, ST",L,,,,,,,,,MANADO,,
DPRDI,2014,71,SULAWESI UTARA,7100-02-0000,Sulut 2,7,PARTAI DEMOKRAT,1,7100-02-0000-0701,FRANSISKA MAGDALENA TUWAIDAN,P,,,,,,,,,MINAHASA UTARA,,
DPRDI,2014,71,SULAWESI UTARA,7100-02-0000,Sulut 2,7,PARTAI DEMOKRAT,2,7100-02-0000-0702,"NETTY AGNES PANTOW, SE",P,,,,,,,,,MINAHASA UTARA,,
