lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,16,SUMATERA SELATAN,1600-01-0000,Sumsel 1,5,PARTAI GOLONGAN KARYA,4,1600-01-0000-0504,"ZURIKE TAKARADA UMAR, SH, S.IP",P,,,,,,,,,PALEMBANG,,
DPRDI,2014,16,SUMATERA SELATAN,1600-05-0000,Sumsel 5,3,PARTAI KEADILAN SEJAHTERA,5,1600-05-0000-0305,ZUMRONI AZHAR,L,,,,,,,,,OKU SELATAN,,
DPRDI,2014,16,SUMATERA SELATAN,1600-03-0000,Sumsel 3,15,PARTAI KEADILAN DAN PERSATUAN INDONESIA,2,1600-03-0000-1502,ZULKIPLI,L,,,,,,,,,OGAN ILIR,,
DPRDI,2014,16,SUMATERA SELATAN,1600-06-0000,Sumsel 6,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,8,1600-06-0000-0408,Zulkarnain,L,,,,,,,,,MUARA ENIM,,
DPRDI,2014,16,SUMATERA SELATAN,1600-08-0000,Sumsel 8,3,PARTAI KEADILAN SEJAHTERA,5,1600-08-0000-0305,"ZULAIHA, A.M.Keb",P,,,,,,,,,LUBUK LINGGAU,,
DPRDI,2014,16,SUMATERA SELATAN,1600-07-0000,Sumsel 7,14,PARTAI BULAN BINTANG,1,1600-07-0000-1401,"ZAWAWI, SE, M.SI",L,,,,,,,,,PALEMBANG,,
DPRDI,2014,16,SUMATERA SELATAN,1600-04-0000,Sumsel 4,3,PARTAI KEADILAN SEJAHTERA,2,1600-04-0000-0302,"ZAINUDDIN, S.TP",L,,,,,,,,,OKU TIMUR,,
DPRDI,2014,16,SUMATERA SELATAN,1600-04-0000,Sumsel 4,14,PARTAI BULAN BINTANG,6,1600-04-0000-1406,ZAINUDDIN MANSYUR,L,,,,,,,,,OKU TIMUR,,
DPRDI,2014,16,SUMATERA SELATAN,1600-01-0000,Sumsel 1,3,PARTAI KEADILAN SEJAHTERA,2,1600-01-0000-0302,"ZAHRUDDIN HODSAY, S.PD, MM",L,,,,,,,,,PALEMBANG,,
DPRDI,2014,16,SUMATERA SELATAN,1600-06-0000,Sumsel 6,9,PARTAI PERSATUAN PEMBANGUNAN,6,1600-06-0000-0906,"Yuyun Antara, ST",L,,,,,,,,,PRABUMULIH,,
DPRDI,2014,16,SUMATERA SELATAN,1600-07-0000,Sumsel 7,5,PARTAI GOLONGAN KARYA,7,1600-07-0000-0507,"YUSYANTO, S.Sos",L,,,,,,,,,PALEMBANG,,
DPRDI,2014,16,SUMATERA SELATAN,1600-03-0000,Sumsel 3,3,PARTAI KEADILAN SEJAHTERA,7,1600-03-0000-0307,"YUSRIANTI, S.PD.I",P,,,,,,,,,OKI,,
DPRDI,2014,16,SUMATERA SELATAN,1600-09-0000,Sumsel 9,5,PARTAI GOLONGAN KARYA,6,1600-09-0000-0506,"YUSMAIRIN YUSMAN HARIS, SE",L,,,,,,,,,PALEMBANG,,
DPRDI,2014,16,SUMATERA SELATAN,1600-07-0000,Sumsel 7,8,PARTAI AMANAT NASIONAL,8,1600-07-0000-0808,Yusfa Rendiah,P,,,,,,,,,PALEMBANG,,
DPRDI,2014,16,SUMATERA SELATAN,1600-02-0000,Sumsel 2,15,PARTAI KEADILAN DAN PERSATUAN INDONESIA,6,1600-02-0000-1506,"YUSEVA, SH",P,,,,,,,,,PALEMBANG,,
DPRDI,2014,16,SUMATERA SELATAN,1600-05-0000,Sumsel 5,10,PARTAI HATI NURANI RAKYAT,5,1600-05-0000-1005,"YURI ASIH, S. SI",P,,,,,,,,,PALEMBANG,,
